fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,36970000,37238000,29709000,7261000,514000,-841000,None,None,-1256000,6540000,7529000,None,-268000,None,1161000,-300000,None,-1161000,None,None,None,-300000,173000,None,-956000,-841000,None
2020-03-31,USD,57129465,55194164,52351000,57129465,407719,588648,None,None,13341,127693,9910680,-1485582,1893301,45300243,394378,-492000,-668000,-394000,-2000,-16759,None,-540000,-1475000,121000,553341,588648,None
2019-12-31,USD,73078000,69580000,60100000,73078000,2424000,-430000,None,None,1197000,789000,9499000,-1296000,3720000,60100000,1227000,616000,-1509000,-1227000,-222000,-19000,None,616000,-1277000,-222000,581000,-430000,None
2019-09-30,USD,59052000,50227000,40931000,59052000,-371000,5715000,None,None,-2418000,287000,9288000,-837000,466000,40931000,2047000,-296000,-2081000,-2047000,8124000,8000,None,-296000,-845000,-235000,-2122000,5715000,None
2019-06-30,USD,55704535,54484077,43564757,12139778,6888567,1782352,None,None,3831659,7730927,10919320,3643582,1220458,43564757,1023622,-324000,-1345000,-1023622,165000,8759,None,-372000,3634823,165000,4155659,1782000,None
2019-03-31,USD,76003561,70387520,50415000,76003561,6522523,2547437,0,None,4995861,1114240,10348063,906482,5616041,60036178,1526662,1520000,-849000,-819463,150000,3279,None,1334184,216698,165000,3661677,2547437,None
2018-12-31,USD,63622671,62157708,49513296,63622671,-956517,-2714951,0,None,-2142866,398085,10373194,-2421480,1464963,51766587,1186349,198000,None,None,-376000,17927,None,174000,-3625756,165000,-2316866,-2714951,None
2018-09-30,USD,49340777,50960778,40063820,49340777,-1105899,-1321185,0,None,-1819990,-105805,9070053,514102,-1620001,41890725,714091,None,None,None,None,None,None,-393000,-199989,None,-1426990,-1321185,None
2018-06-30,USD,60867469,58263767,48183563,60867469,3669111,2828694,0,None,3669111,453417,8584803,1065409,2603702,49678964,-609862,None,None,None,None,None,None,387000,1065409,None,3282111,2828694,None
2018-03-31,USD,53459236,52453619,43481224,53459236,1062701,1558958,195653,0,1062701,-96257,8054140,57084,1005617,44399479,-583604,None,None,None,0,0,0,-400000,73732,0,1462701,1558958,None
2017-12-31,USD,44501246,43949566,35862000,44501246,-774441,-671939,0,0,-774441,-42502,7252381,-1326121,551680,36697185,-1059581,None,None,None,0,0,0,-60000,-1627669,0,-714441,-671939,None
2017-09-30,USD,48861490,48385832,40583000,48861490,759467,421701,-196000,0,759467,56766,7276486,283809,475658,41109346,322000,None,None,None,0,0,0,281000,892497,0,478467,421701,None
2017-06-30,USD,47697373,45484805,38304000,47697373,1603880,968389,195653,0,1603880,261491,6585759,-608688,2212568,38703393,150000,None,None,None,0,0,0,374000,-608688,0,1229880,968389,None
2017-03-31,USD,43687000,42374693,35504000,43686246,731711,-1461891,184000,0,873000,1761979,6432000,-579842,1324000,35942855,-430274,None,None,None,0,0,0,573000,-2678288,0,300088,-1461891,None
2016-12-31,USD,35769170,34129753,28636000,35769170,1814292,1220037,107598,0,1814292,445255,4960263,174875,1639417,29061892,-218743,None,None,None,0,0,0,149000,-258200,0,1665292,1220037,None
2016-09-30,USD,38522990,37501251,31765000,38522990,1454814,1084102,239922,0,1454814,-4288,5143446,433075,1021739,32117883,13355,None,None,None,0,0,0,375000,1720973,0,1079814,1084102,None
2016-06-30,USD,30493253,37566735,29237000,30493253,-8361380,-5751471,510960,0,-8361380,-2237909,5828946,-1287898,-7073482,31226829,64011,None,None,None,0,0,0,-372000,-1287898,0,-7989380,-5751471,None
2016-03-31,USD,34580916,36894922,29610000,34580916,-2217712,-1369720,561942,0,-2217712,-376443,6089351,96294,-2314006,30243628,-80743,None,None,None,0,0,0,-471548,-132286,0,-1746164,-1369720,None
2015-12-31,USD,46618573,42728456,37687000,46618573,3945200,2725710,216000,0,3945200,-279510,4585364,55083,3890117,37927092,0,None,None,None,0,0,0,1499000,0,0,2446200,2725710,None
2015-09-30,USD,44653929,39149278,35288000,44653929,5494961,3793960,0,0,5494961,0,3658187,-9690,5504651,35491092,0,None,None,None,0,0,0,1701000,0,0,3793961,3793960,None
2015-06-30,USD,22358520,23407619,19427000,22358520,-1069040,-736040,0,0,-1069040,0,3806928,-19941,-1049099,19600691,0,None,None,None,0,0,0,-333000,0,0,-736040,-736040,None
