fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,2283551000,343215000,None,52070000,1440009000,843542000,None,99280000,10000000,1200570000,90857000,540594000,15177000,268551000,426083000,None,78646000,-129430000,212537000,1159769000,None,-40267000,None,449998000,855143000,389150000,186270000,None,None,None,None,None,None,None,27436000,None,1123782000,None,None,158783000,1013926000,None,None,None,None,None,None,None,None
2020-03-31,USD,2289529000,352864000,None,404637000,1458969000,830560000,None,85915000,10000000,1195411000,146350000,539495000,24264000,165464000,447861000,78642000,78642000,-135507000,123770000,1162519000,None,291065000,None,524081000,864758000,421201000,283304000,None,None,10000000,None,1195411000,-414174000,None,110881000,None,774146000,None,864758000,146350000,1011108000,None,None,None,174830000,2289529000,165464000,None,38707000
2019-12-31,USD,2418997000,364519000,None,412422000,1456756000,962241000,None,77846000,10000000,1290685000,98848000,673175000,14781000,128149000,420701000,73771000,73771000,-97560000,126248000,1142555000,12301000,289066000,None,502894000,874423000,463609000,269084000,None,None,10000000,None,1290685000,-414561000,None,112500000,None,911923000,None,874423000,161632000,1036055000,None,None,None,173677000,2418997000,128149000,None,38678000
2019-09-30,USD,2429732000,374871000,None,427095000,1502507000,927225000,None,91469000,10000000,1264648000,101281000,671476000,15451000,98204000,478722000,93912000,93912000,-105133000,125094000,1144923000,11360000,255749000,None,529330000,859172000,465165000,293341000,None,None,10000000,None,1264648000,-414513000,None,113368000,None,909938000,None,859172000,164613000,1023785000,None,None,None,172223000,2429732000,98204000,None,38655000
2019-06-30,USD,2331697000,368866000,None,420328000,1434663000,897034000,None,69491000,10000000,1229148000,102019000,661991000,17153000,108219000,423794000,49036000,49036000,-99886000,124303000,1148138000,11246000,235043000,None,540902000,908850000,447555000,305267000,None,None,10000000,None,1229148000,-415159000,None,28399000,None,814693000,None,908850000,102019000,1010869000,None,None,None,172931000,2331697000,108219000,-181066000,38597000
2019-03-31,USD,2322810000,378844000,None,428224000,1439962000,882848000,None,62731000,10000000,1213314000,85869000,661195000,22943000,47367000,416557000,44163000,44163000,-96994000,123240000,1125770000,10818000,221653000,None,574468000,937536000,454555000,309663000,None,None,10000000,None,1213314000,-415206000,None,33761000,None,818196000,None,937536000,85869000,1023405000,None,None,None,171734000,2322810000,47367000,None,38593000
2018-12-31,USD,2289988000,413093000,None,457134000,1400073000,889915000,None,60164000,10000000,1208748000,82875000,651206000,12171000,79827000,393788000,44184000,44184000,-94632000,122005000,1081783000,9730000,238709000,None,512034000,923410000,445881000,289440000,None,None,10000000,None,1208748000,-404586000,None,21901000,None,795112000,None,923410000,82875000,1006285000,None,None,None,170385000,2289988000,79827000,None,38758000
2018-09-30,USD,2305688000,425801000,None,461356000,1434882000,870806000,0,70109000,10000000,1181683000,87493000,647529000,23494000,56408000,394173000,19184000,19184000,-84876000,119781000,1089083000,None,223277000,0,565462000,953216000,431658000,304880000,0,0,10000000,0,1181683000,-404619000,None,23494000,None,790804000,None,953216000,87493000,1040709000,None,None,None,168618000,2305688000,56408000,None,38754000
2018-06-30,USD,2285741000,435947000,None,468937000,1470778000,814963000,0,83112000,10000000,1129678000,93705000,646643000,23788000,54150000,432551000,19183000,19183000,-90223000,121343000,1058020000,None,168320000,0,548811000,944522000,422069000,330256000,0,0,10000000,0,1129678000,-403875000,None,23788000,None,791774000,None,944522000,93705000,1038227000,None,None,None,169383000,2285741000,54150000,-175300000,38703000
2018-03-31,USD,2272323000,1077872000,None,489824000,1466295000,806028000,0,64936000,10000000,1112136000,79004000,629783000,1099225000,43523000,369964000,19182000,19182000,-80000000,121858000,1051240000,None,176245000,0,533533000,1017327000,432449000,285846000,0,0,10000000,0,1112136000,-403956000,None,21353000,None,772994000,None,1017327000,79004000,1096331000,None,None,None,167848000,2272323000,43523000,None,38696000
2017-12-31,USD,1405882000,362433000,None,190970000,626620000,779262000,0,50889000,10000000,1087156000,48414000,209001000,390409000,85324000,271627000,6378000,6378000,-79614000,111962000,903511000,None,570261000,0,403249000,306579000,386943000,214360000,0,0,10000000,0,1087156000,-404288000,None,18433000,None,339396000,None,306579000,48414000,354993000,None,None,None,166008000,1405882000,85324000,None,38674000
2017-09-30,USD,1384907000,369682000,None,188407000,611239000,773668000,0,59658000,10000000,1067473000,45804000,209834000,396715000,77769000,280260000,5595000,5595000,-73550000,111313000,876879000,None,563834000,0,414814000,285175000,364979000,215007000,0,0,10000000,0,1067473000,-395253000,None,17791000,None,338938000,None,285175000,45804000,330979000,None,None,None,164998000,1384907000,77769000,None,38815000
