fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-3753000,-53856000,-3753000,None,-9750000,-22279000,-73000,-5295000,29989000,103087000,127090000,None,15081000,-12453000,0,None,None,9706000,3892000,None,None,None
2020-03-31,USD,-3621000,0,-3621000,637000,-7381000,-19638000,161000,13066000,-82777000,41466000,64725000,13066000,16482000,-12418000,330000,None,None,117954000,4258000,None,-4151000,37315000
2019-12-31,USD,-7469000,0,-7469000,-450000,-4950000,-17447000,-810000,-2978000,38031000,29965000,54881000,-2978000,15589000,-12017000,330000,None,None,4239000,7019000,None,-20000,29945000
2019-09-30,USD,-40561000,0,-40561000,-35615000,-4934000,-18874000,-1955000,-8682000,38799000,-9417000,50018000,-8682000,15597000,-11985000,None,None,None,4304000,4946000,None,-598000,-10015000
2019-06-30,USD,-6905000,-54358000,-6905000,354000,-23935000,-36069000,-122000,74059000,39803000,60461000,103435000,98629000,15251000,-12012000,0,-16590000,8465000,12235000,7259000,8465000,391000,60852000
2019-03-31,USD,-34836000,0,-34836000,-30221000,13975000,-9549000,-387000,-50445000,16535000,-32799000,11586000,-50445000,14937000,-11979000,-11158000,-16590000,8465000,30559000,4615000,None,339000,-32460000
2018-12-31,USD,None,0,-10265000,-6342000,-4934000,-19046000,-2171000,-2738000,38717000,24472000,53783000,-2738000,16029000,-11941000,None,-16590000,8465000,1775000,3923000,None,-1053000,23419000
2018-09-30,USD,None,0,-3096000,77000,7881000,-6875000,-3422000,-53184000,48938000,1826000,11797000,-53184000,15902000,-11334000,0,-16590000,8465000,141000,3173000,None,432000,2258000
2018-06-30,USD,None,55365000,-2573000,2759000,-72932000,-84651000,-148000,103609000,40362000,12202000,99426000,98589000,15816000,-11668000,97000,-33436000,-83103000,5833000,5332000,-83103000,-1575000,10627000
2018-03-31,USD,None,0,-779455000,-773017000,722393000,710580000,-199000,-26635000,36592000,-42181000,26694000,-26635000,14513000,-11619000,5000,-33436000,-83103000,2224000,6438000,None,380000,-41801000
2017-12-31,USD,None,0,-4811000,313000,22160000,1657000,-242000,-29982000,30950000,8590000,11744000,-29982000,9776000,-11244000,-9017000,-33436000,-83103000,1000000,5124000,None,-1035000,7555000
2017-09-30,USD,None,0,-11067000,-4731000,-839000,-27302000,-1375000,-35025000,33721000,-28929000,9440000,-35025000,9758000,-11327000,-13761000,0,0,986000,6336000,None,1641000,-27288000
2017-06-30,USD,None,40117000,-5053000,205000,-29839000,-44596000,-3724000,1879000,52960000,36464000,86113000,33842000,9926000,-11383000,350000,-3624000,-42267000,-4841000,5258000,-42267000,1280000,37744000
2017-03-31,USD,None,32076000,-7779000,-2702000,-5819000,-21732000,-1917000,-9123000,29494000,3337000,32848000,-9123000,9933000,-11343000,-2653000,0,0,2544000,5077000,None,1119000,4456000
2016-12-31,USD,None,32076000,-2810000,901000,22143000,5131000,-3719000,-30087000,24085000,6115000,3794000,-30087000,9931000,-10950000,-2343000,0,0,-135000,3711000,None,-1280000,4835000
2016-09-30,USD,None,32076000,-1252000,1747000,-22838000,-42152000,-5431000,2835000,27371000,-1540000,41864000,2835000,9887000,-10943000,-2940000,0,0,1771000,2999000,None,-299000,-1839000
2016-06-30,USD,None,-28644000,-9820000,-6131000,-43555000,-62886000,-9238000,1059000,26067000,-2073000,70633000,21719000,10440000,-10988000,895000,25081000,26414000,-7517000,3689000,26414000,-998000,-3071000
2016-03-31,USD,None,None,-36418000,-32714000,4180000,-15656000,1098000,None,-44728000,5342000,57416000,22859000,10771000,-10973000,-9961000,0,0,68514000,3704000,None,1956000,7298000
2015-12-31,USD,None,None,-14544000,-11919000,11675000,-11145000,-2649000,None,23947000,-7334000,18355000,-15576000,10322000,-10624000,-9547000,0,0,-338000,2625000,None,-998000,-8332000
2015-09-30,USD,None,None,-14249000,-11137000,34319000,-2298000,-7916000,None,24291000,-1959000,14588000,-23514000,10013000,-10745000,-17956000,0,0,3798000,3112000,None,-3545000,-5504000
2015-06-30,USD,None,-1667000,3416000,7340000,-68681000,-103008000,-6194000,559000,28045000,15634000,115226000,87249000,10171000,-10856000,-17277000,-15704000,13129000,-5997000,3924000,13129000,-1329000,14305000
