fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,7121147000,None,None,None,5245970000,1698012000,None,None,1489000,-1798561000,None,37808000,279412000,442508000,353787000,None,None,3807000,6008489000,442508000,293427000,1798953000,None,None,4892183000,None,353787000,None,None,1489000,None,-1798561000,None,None,376723000,None,6678639000,None,4892183000,None,4892183000,None,100941000,None,3491277000,7121147000,442508000,None,148865047
2020-03-31,USD,7048245000,None,None,None,5151631000,1717455000,None,None,1487000,-1776782000,None,37808000,265392000,374816000,349099000,None,None,4139000,6025659000,374816000,286472000,1818521000,None,None,4802532000,None,349099000,None,None,1487000,None,-1776782000,None,None,361298000,None,6673429000,None,4802532000,None,4802532000,None,101066000,None,3488611000,7048245000,374816000,None,148700407
2019-12-31,USD,6828739000,44855000,None,47567000,4866164000,1780649000,24880000,None,1489000,-1722402000,63595000,37808000,24880000,177702000,360574000,None,None,4195000,6019307000,177702000,280258000,1882429000,None,20949000,4505590000,None,360574000,None,None,1489000,None,-1722402000,None,None,351472000,None,6651037000,None,4505590000,None,4505590000,None,101780000,None,3497367000,6828739000,177702000,None,148885197
2019-09-30,USD,6539178000,None,None,34501000,4651926000,1705459000,None,None,1489000,-1797851000,None,37808000,302161000,93225000,397216000,None,None,4488000,6050892000,93225000,92900000,1806637000,None,None,4254710000,None,397216000,None,None,1489000,None,-1797851000,None,None,395061000,None,6445953000,79700000,4254710000,None,4254710000,None,101178000,None,3497333000,6539178000,93225000,None,148884686
2019-06-30,USD,6240804000,None,None,31949000,4296760000,1763218000,None,None,1488000,-1741765000,None,37808000,364197000,65907000,299313000,None,None,4866000,5719000000,65907000,91700000,1864396000,None,None,3997447000,None,299313000,None,None,1488000,None,-1741765000,None,None,455897000,None,6174897000,79700000,3997447000,None,3997447000,None,101178000,None,3498629000,6240804000,65907000,None,148827363
2019-03-31,USD,6283769000,None,None,36103000,4222302000,1883636000,None,None,1488000,-1742998000,None,37808000,36103000,198389000,293279000,None,None,4851000,5643853000,198389000,90100000,1856974000,None,None,3929023000,None,293279000,None,None,1488000,125000000,-1742998000,None,None,441527000,None,6085380000,79700000,3929023000,None,3929023000,None,101195000,None,3495295000,6283769000,198389000,None,148758031
2018-12-31,USD,6190004000,23933000,None,103787000,4325072000,1699419000,45224000,23177000,1491000,-1947507000,None,37800000,112284000,72595000,386590000,160360000,None,4794000,5723475000,72595000,96237000,1675710000,None,55630000,7990970000,42393000,226230000,None,None,1491000,125000000,-1947507000,None,None,393934000,None,6117409000,None,7990970000,23177000,8014147000,None,101291000,None,3515641000,6190004000,72595000,None,149133826
2018-09-30,USD,6185021000,37808000,None,46267000,3889571000,2125682000,0,None,1574000,-1894054000,242782000,37808000,263067000,104299000,242782000,None,None,4850000,5730655000,104299000,87000000,2100397000,46267000,None,3646789000,0,242782000,2194130000,0,1574000,125000000,-1894054000,0,None,350067000,None,6080722000,None,3646789000,None,3646789000,None,101320000,None,3888312000,6185021000,104299000,None,157352109
2018-06-30,USD,6544356000,37808000,None,413385000,4788239000,1614941000,0,310241000,1574000,-2402101000,302918000,37808000,280964000,138571000,234308000,4261209000,4261209000,3208000,5935579000,138571000,84600000,1588289000,71172000,None,4261209000,0,234308000,1654785000,0,1574000,125000000,-2402101000,0,None,375892000,None,6311471000,None,4261209000,68610000,4329819000,None,101332000,None,3887260000,6544356000,138571000,None,157351428
2018-03-31,USD,6255290000,37808000,None,68763000,4491265000,1670190000,11814000,None,1573000,-2345206000,11814000,37808000,297921000,139031000,224606000,4256102000,4256102000,3544000,5734738000,139031000,83600000,1643813000,68763000,None,4029343000,0,224606000,1662647000,0,1573000,125000000,-2345206000,0,None,381521000,None,6116259000,None,4029343000,None,4041157000,None,101378000,None,3885279000,6255290000,139031000,None,157326117
