fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-62056000,0,-62056000,30511000,113186000,22807000,-23954000,11911000,43204000,67692000,106941000,-35293000,97689000,-66139000,-286000,None,None,1341000,92567000,None,None,67692000
2020-03-31,USD,-98014000,0,-98014000,-439000,296223000,217712000,-365000,-31995000,8977000,197114000,77416000,-31995000,100476000,-66558000,-11588000,None,None,-42000,97575000,None,None,197114000
2019-12-31,USD,-277591000,2798000,-189408000,57282000,242625000,178161000,4427000,21098000,142766000,84477000,95724000,None,97144000,-63268000,-5623000,None,-26021000,214887000,30901000,None,None,84477000
2019-09-30,USD,111000,0,-213530000,-16696000,190449000,132139000,3821000,7457000,3970000,27318000,108709000,7457000,97538000,-63352000,1221000,None,-26021000,-256000,196945000,None,None,27318000
2019-06-30,USD,-54879000,0,-54879000,84756000,36750000,-166025000,-10987000,-10603000,69996000,-132482000,88422000,280870000,91924000,-64280000,-127508000,None,-26021000,-354368000,139635000,None,None,-132482000
2019-03-31,USD,252404000,0,252404000,340186000,-109940000,-208227000,302000,-17952000,291295000,125794000,81617000,-309425000,93565000,-75254000,-23335000,None,-26021000,6182000,87782000,None,None,125794000
2018-12-31,USD,5010000,1681000,-117276000,-5007000,428626000,-7890000,5648000,9683000,9840000,-31704000,93462000,None,89047000,-67363000,-364916000,None,-27830000,-262253000,117279000,None,None,-31704000
2018-09-30,USD,None,0,532809000,628882000,-616167000,-684750000,-374000,7548000,603917000,-34641000,117300000,-564537000,96406000,-67348000,-861000,0,-27830000,-18486000,96073000,None,None,-34641000
2018-06-30,USD,None,0,-122059000,7124000,90653000,17665000,-3053000,2256000,7156000,-91000,104303000,2034000,97485000,-66881000,-3054000,0,-27830000,-2372000,129183000,None,None,-91000
2018-03-31,USD,None,0,-171628000,68623000,165826000,86795000,3012000,-19487000,95690000,-3510000,81323000,-69811000,92548000,-73702000,-8341000,0,-27830000,-37104000,240251000,None,None,-3510000
2017-12-31,USD,1506000,-15395000,14704000,-1589000,202497000,-393700000,-362226000,None,264389000,11391000,394139000,None,364884000,-233971000,0,0,-15841000,-263016000,367003000,None,None,None
2017-09-30,USD,-173000,0,-96985000,-3233000,48496000,-20108000,-63321000,3302000,22144000,-8081000,109012000,3535000,92513000,-63127000,-1100000,0,0,-9180000,93752000,None,None,-8081000
2017-06-30,USD,-173000,0,-90916000,6515000,366626000,-17893000,-120183000,-180000,21591000,-1312000,107497000,-1688000,89155000,-63868000,-318537000,0,0,-1561000,97431000,None,None,-1312000
2017-03-31,USD,1445000,-15794000,-86238000,908000,88279000,21552000,2167000,-32460000,17155000,3830000,68516000,-32066000,87168000,-64266000,-4628000,0,0,-3741000,87146000,None,None,3830000
2016-12-31,USD,1374000,-5164000,-99147000,4088000,36697000,-283949000,-69554000,None,164407000,-6595000,377724000,None,331366000,-216293000,0,0,-22294000,-362877000,354185000,None,None,None
2016-09-30,USD,270849000,-5555000,-79550000,295576000,92632000,-27458000,8842000,-545000,30036000,-7317000,99691000,-15043000,84848000,-71090000,-57842000,0,0,-150000,375126000,None,None,-7317000
2016-06-30,USD,-290075000,-5555000,-89140000,1158000,44867000,-22901000,-8008000,-5649000,245953000,-9229000,102812000,-222190000,80680000,-59760000,0,0,0,-1631000,90298000,None,None,-9229000
2016-03-31,USD,3234000,-5555000,-65571000,16280000,67667000,5283000,-1681000,-20824000,29885000,13665000,73953000,-27011000,79828000,-60703000,0,0,0,-8749000,81851000,None,None,13665000
2015-12-31,USD,-429000,-22334000,-170897000,4824000,-247022000,-167176000,-64553000,None,69656000,21818000,359891000,None,297701000,-195181000,366580000,0,619000,-176891000,373845000,None,None,None
2015-09-30,USD,None,None,-131871000,-26428000,87518000,29137000,-2089000,None,23769000,-1594000,101140000,6019000,77237000,-56292000,366580000,0,0,-5885000,105443000,None,None,-1594000
2015-06-30,USD,None,None,-104291000,97506000,-22683000,-106017000,-773000,None,68688000,-117655000,92653000,-48428000,75150000,-82556000,-5000,None,None,-2757000,201797000,None,None,-117655000
