fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,218808000,186868000,75244000,218808000,41719000,39255000,None,None,40325000,3949000,15056000,9779000,31940000,171812000,48802000,-2879000,2843000,-45959000,None,None,None,-2879000,54344000,None,43204000,39212000,None
2020-03-31,USD,224552000,188890000,76664000,224552000,46898000,6722000,None,None,5744000,2255000,12934000,11236000,35662000,175956000,41336000,-3233000,4523000,-36813000,None,None,None,-3233000,6895000,None,8977000,6679000,None
2019-12-31,USD,230032000,193404000,78768000,230032000,-104857000,133512000,None,None,141573000,9254000,96260000,-141485000,36628000,97144000,45846000,-1193000,2809000,-43037000,None,None,None,-1193000,147982000,None,142766000,133339000,None
2019-09-30,USD,229827000,191200000,77430000,229827000,42885000,1979000,None,None,874000,1991000,93662000,4258000,38627000,97538000,42011000,-3096000,2824000,-39187000,None,None,None,-3096000,1434000,None,3970000,2003000,None
2019-06-30,USD,224200000,184096000,75839000,224200000,107710000,64459000,None,None,68169000,5537000,92172000,67606000,40104000,91924000,39541000,-1827000,3065000,-36476000,None,None,None,-1827000,64541000,None,69996000,59234000,5187000
2019-03-31,USD,230235000,188821000,79184000,230235000,627158000,274133000,None,None,294276000,17162000,95256000,585744000,41414000,93565000,41409000,2981000,-38683000,-38683000,None,None,None,2981000,291545000,None,291295000,271568000,2148000
2018-12-31,USD,232022000,165958000,75385000,232022000,123978000,7407000,0,0,689168000,36045000,74611000,57914000,66064000,91347000,57441000,None,None,None,0,0,0,56697000,473000,0,632471000,5226000,2148000
2018-09-30,USD,242481000,195527000,80862000,242481000,621468000,569991000,0,0,3891000,-33926000,99121000,574514000,46954000,96406000,45492000,None,None,None,0,0,0,-27941000,529022000,0,31832000,567029000,2148000
2018-06-30,USD,250187000,200826000,85093000,250187000,52667000,5037000,0,0,2539000,-2119000,103341000,3306000,49361000,97485000,49906000,None,None,None,0,0,0,-4395000,-46600000,-50324000,6934000,2817000,2149000
2018-03-31,USD,247720000,194343000,87482000,247720000,106097000,83792000,0,0,7978000,93835000,101795000,52720000,53377000,92548000,47795000,None,None,None,0,0,0,-37388000,4925000,50324000,45366000,81525000,2148000
2017-12-31,USD,257310000,1129185000,221344000,637610000,-12899000,264389000,0,0,268941000,21800000,16602000,None,19364000,-525139000,49193000,None,None,None,0,-71762000,0,-25966000,86379000,308188000,284414000,262240000,None
2017-09-30,USD,254635000,195430000,182630000,254635000,67956000,19635000,0,0,17507000,-2509000,94052000,8751000,59205000,92513000,50682000,None,None,None,0,215286000,0,-4870000,0,-11713000,22377000,17430000,2148000
2017-06-30,USD,249092000,189386000,176627000,249092000,63426000,18052000,0,0,15060000,3539000,91849000,3720000,59706000,89155000,46858000,None,None,None,0,-143524000,0,-5023000,0,3478000,20083000,15843000,2149000
2017-03-31,USD,246481000,188692000,175991000,246481000,60052000,13698000,0,0,12564000,3457000,92046000,2263000,57789000,87168000,47882000,None,None,None,0,35881000,0,-4985000,0,-394000,17549000,11491000,2148000
2016-12-31,USD,251449000,727735000,172488000,619618000,77407000,164407000,0,0,168660000,12992000,16911000,None,62050000,-248124000,50484000,None,None,None,0,35881000,0,-15380000,217635000,1208334000,443195000,162251000,None
2016-09-30,USD,248904000,190172000,177014000,248904000,75951000,15513000,0,0,12076000,-14523000,105324000,17219000,58732000,84848000,49377000,None,None,None,0,0,0,-3462000,0,-1006337000,15538000,11176000,4323000
2016-06-30,USD,251218000,186782000,169640000,251218000,287726000,224433000,0,0,22291000,-21520000,106102000,223290000,64436000,80680000,48894000,None,None,None,0,0,0,-7121000,0,185606000,29412000,221382000,2758000
2016-03-31,USD,246239000,182705000,168837000,246239000,71633000,26057000,0,0,17812000,-3828000,102877000,8099000,63534000,79828000,47634000,None,None,None,0,0,0,-5886000,0,6187000,23698000,23223000,2757000
2015-12-31,USD,247657000,700739000,168093000,594838000,256215000,69656000,0,0,68866000,5720000,12298000,None,67266000,-13988000,48275000,None,None,None,0,35881000,0,-6510000,-11756000,180593000,271983000,66899000,None
2015-09-30,USD,246387000,182366000,167763000,246387000,63775000,21925000,0,0,15490000,1844000,105129000,-246000,64021000,77237000,48285000,None,None,None,0,0,0,-8279000,0,0,23769000,19179000,2757000
2015-06-30,USD,244783000,179140000,164166000,244783000,112479000,63869000,0,0,18093000,-4819000,103990000,46836000,65643000,75150000,49605000,None,None,None,0,0,0,-5814000,0,0,23907000,60804000,2758000
