fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,44233200000,582100000,None,None,38248700000,5967800000,None,None,1600000,6194400000,11790000000,2441400000,3351800000,2137500000,2417300000,None,200000000,568900000,450100000,11057300000,14789200000,2941400000,12847400000,11057300000,2554800000,None,2417300000,None,None,1600000,2900000,6194400000,-5350400000,None,6239100000,None,7003200000,None,2554800000,31735800000,34290600000,None,None,None,4550400000,44233200000,None,None,59571651
2020-03-31,USD,43423300000,521000000,None,None,38037100000,5370000000,None,None,1600000,6061100000,11415200000,2336200000,3083800000,1999900000,2435900000,None,200000000,88400000,438100000,11175500000,13771400000,2509900000,11892400000,11175500000,2560100000,None,2435900000,None,None,1600000,2900000,6061100000,-5324600000,None,7979200000,None,7201900000,None,2560100000,33041100000,35601200000,None,None,None,4540600000,43423300000,None,None,59707563
2019-12-31,USD,44291200000,540200000,None,9724500000,38609100000,5652800000,None,16603600000,1600000,5966400000,11859200000,2343400000,3175300000,1867100000,2758500000,None,None,411500000,433700000,13153300000,14698400000,2766300000,12724900000,11286200000,2326300000,None,2758500000,None,None,1600000,2900000,5966400000,-5267300000,None,6454200000,None,6668000000,None,2326300000,33524300000,35850600000,None,None,None,4537700000,44291200000,1867100000,None,59945893
2019-09-30,USD,43751500000,547800000,None,9637800000,38061100000,5658600000,None,16383200000,1600000,5882900000,11497500000,2331000000,2976000000,1749300000,2637900000,None,None,405200000,418800000,13027000000,14679200000,2776900000,12687000000,11277700000,2294200000,None,2637900000,None,None,1600000,2900000,5882900000,-5158500000,None,6586500000,None,6161200000,None,2294200000,33129000000,35423200000,None,None,None,4524500000,43751500000,1749300000,None,60758742
2019-06-30,USD,43139500000,564100000,None,9289500000,37379200000,5730200000,None,15934600000,1600000,5980900000,11515900000,2338000000,3160300000,1490400000,2598500000,None,None,328700000,419200000,12398700000,14556600000,2825200000,12586300000,10908300000,2315300000,None,2598500000,None,None,1600000,2900000,5980900000,-5093100000,None,7095300000,None,5767600000,None,2315300000,32465400000,34780700000,None,None,None,4509200000,43139500000,1490400000,None,61207965
2019-03-31,USD,42237000000,606500000,None,9192400000,36765300000,5440600000,None,15638700000,1600000,5879700000,11450300000,2331200000,3130800000,1274200000,2461200000,None,None,103400000,409800000,12042000000,14114500000,2500000000,343900000,10767800000,2300600000,None,2461200000,None,None,1600000,2900000,5879700000,-5043000000,None,7361500000,None,5371500000,None,2300600000,32003500000,34304100000,None,None,None,4496000000,42237000000,1274200000,None,61678749
2018-12-31,USD,41089300000,622400000,None,9291500000,35955400000,5112000000,None,15648000000,1600000,5759700000,11053900000,2321800000,2936800000,1254000000,2187400000,None,None,-155400000,392500000,12099800000,13529400000,2164900000,373200000,10845800000,2278000000,None,2187400000,None,None,1600000,2900000,5759700000,-4992400000,None,7020400000,None,5103000000,None,2278000000,31490000000,33768000000,None,None,None,4495600000,41089300000,1254000000,None,61908979
2018-09-30,USD,43443100000,642800000,None,11390500000,38203400000,5219400000,None,15497200000,1600000,5777100000,13916900000,2312500000,4849400000,1306600000,2212100000,None,None,-97700000,381700000,14207100000,13631900000,2261200000,604800000,12900500000,2284400000,None,2212100000,None,None,1600000,2900000,5777100000,-4943300000,None,7997000000,None,4270100000,None,2284400000,33706900000,35991300000,None,None,None,4478800000,43443100000,1306600000,None,62376266
2018-06-30,USD,42361300000,664800000,None,11114400000,37028400000,5312500000,None,14505000000,1600000,5846300000,13457800000,2369200000,4507300000,1253700000,2610700000,2004800000,2004800000,-137900000,370600000,13799000000,13525300000,2275600000,343600000,12545300000,2351900000,None,2610700000,None,None,1600000,2900000,5846300000,-4860100000,None,7749700000,None,3882700000,None,2351900000,32065800000,34417700000,None,None,None,4459700000,42361300000,1253700000,None,63094312
2018-03-31,USD,32427900000,275800000,None,9387100000,27926900000,4489800000,None,7084800000,1500000,5815000000,13165400000,923100000,3912000000,2342000000,1855800000,2004400000,2004400000,51700000,355200000,12903500000,11071600000,3288000000,171100000,10561500000,2178000000,None,1855800000,None,None,1500000,2900000,5815000000,-4860100000,None,3252400000,None,3646300000,None,2178000000,23893100000,26071100000,None,None,None,3478800000,32427900000,2342000000,None,52570192
