fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-111200000,-8200000,-214100000,-78300000,-500000,-79400000,-14200000,48300000,178100000,122400000,415900000,189200000,31500000,-44200000,-21000000,None,153800000,37100000,24600000,-11800000,None,122400000
2020-03-31,USD,159900000,-192800000,181900000,43600000,200000000,91400000,-700000,-397200000,154700000,149600000,-123700000,-421900000,33500000,-42700000,-65200000,None,87400000,222700000,21600000,80100000,None,149600000
2019-12-31,USD,59900000,-193500000,-6200000,-26300000,-404800000,-129100000,424600000,120500000,127600000,110200000,245500000,381200000,38400000,-43000000,-105900000,None,-62300000,61700000,39800000,-169900000,None,110200000
2019-09-30,USD,35600000,33200000,-4000000,-26900000,-44500000,-168700000,-19800000,363600000,-54800000,269500000,442200000,767400000,27300000,-42000000,-62400000,None,-384000000,34700000,12700000,-365600000,None,269500000
2019-06-30,USD,-70100000,199600000,-162400000,-66900000,-2100000,-102300000,-700000,79200000,144100000,214300000,479000000,178700000,30400000,-42900000,-56600000,None,-171900000,28800000,25400000,-102600000,None,214300000
2019-03-31,USD,-107400000,12100000,-447200000,-307400000,418500000,220900000,-128300000,102700000,165700000,20400000,246700000,-201400000,29700000,-42100000,-27200000,None,157600000,18500000,32400000,222100000,None,20400000
2018-12-31,USD,-173600000,141100000,-298100000,-100600000,11100000,47600000,128300000,234600000,251000000,-48400000,202100000,-534900000,126900000,-42400000,-49400000,None,-220200000,168300000,23900000,504300000,-4200000,-52600000
2018-09-30,USD,-153200000,0,-389600000,-215600000,426100000,145900000,-168100000,234600000,53000000,38600000,282300000,None,19000000,-40200000,-71900000,None,-220200000,210300000,20800000,None,-8000000,52900000
2018-06-30,USD,-23000000,0,-1593900000,-1549300000,405200000,300500000,-82900000,234600000,67000000,-1045400000,248000000,None,39100000,-35700000,13900000,None,-220200000,141900000,21600000,None,-20600000,-1088300000
2018-03-31,USD,294400000,0,79100000,-198800000,935800000,1344000000,168500000,234600000,106000000,1347400000,-75700000,None,39100000,-29700000,269400000,None,-220200000,-181700000,16500000,None,-2200000,1345200000
2017-12-31,USD,-338600000,0,-541200000,4700000,450800000,-26700000,30400000,212800000,312900000,-35200000,530400000,None,115700000,-119000000,-378000000,7400000,-10300000,-201900000,62100000,None,None,None
2017-09-30,USD,-6900000,0,-245700000,-226500000,88700000,22600000,18200000,240700000,-57300000,143600000,366700000,None,115700000,-28800000,-37300000,7400000,-10300000,424000000,12300000,None,1000000,144600000
2017-06-30,USD,54900000,0,62500000,23900000,69000000,-64600000,17300000,240700000,120200000,-26600000,-24500000,None,115700000,-30300000,-96200000,7400000,-10300000,-144700000,16300000,None,300000,-26300000
2017-03-31,USD,108100000,0,-58800000,-152100000,69000000,-127700000,7100000,240700000,143800000,-162300000,24200000,None,115700000,-29700000,-105100000,7400000,-10300000,-119600000,14800000,None,4800000,-157500000
2016-12-31,USD,-277900000,0,725621000,879073000,-123400000,-1080300000,11468000,131400000,31316000,-256300000,134526000,None,125100000,-125346000,0,4579000,34441000,-508000000,85233000,None,None,None
2016-09-30,USD,-67982000,None,-114370000,-27318000,-75000,-257278000,1443000,None,144367000,-112998000,258650000,None,0,-30071000,-228650000,0,0,None,19070000,None,-3053000,-116051000
2016-06-30,USD,-565514000,None,-387353000,203132000,-250000000,-476231000,6084000,None,169349000,-826259000,37325000,None,0,-32518000,-199797000,0,0,None,24971000,None,-1882000,-828141000
2016-03-31,USD,251750000,None,1132988000,903988000,249625000,-26792000,1835000,None,220318000,767166000,-339030000,None,0,-32448000,-245804000,0,0,None,22750000,None,-514000,772510000
2015-12-31,USD,138300000,-165000000,264293000,53354000,-123400000,-462400000,-75300000,-60000000,65744000,-30300000,254572000,None,137100000,-94168000,0,-27300000,185600000,33800000,114896000,None,None,None
2015-09-30,USD,2837000,None,14624000,38969000,None,-94945000,-43568000,None,75811000,280257000,360578000,None,0,-20456000,-30921000,0,0,None,27182000,None,-19980000,246500000
2015-06-30,USD,52052000,None,1735000,-10223000,None,-126037000,-998000,None,32789000,222260000,346562000,None,0,-21616000,-103423000,0,0,None,40094000,None,6798000,232271000
