fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-200000,-107800000,-34800000,-5300000,-230200000,-400400000,-111800000,-107300000,161800000,258400000,693600000,564000000,122600000,-86100000,27700000,None,486700000,-47000000,29300000,None,None,258400000
2020-03-31,USD,-400000,1865700000,-105000000,-75100000,333700000,147900000,-47500000,1750800000,355400000,151500000,108600000,-2237300000,172400000,-87400000,-50900000,None,-2055800000,-47600000,29500000,None,None,151500000
2019-12-31,USD,-51000000,-351400000,-396200000,-314100000,130000000,9700000,-21800000,-304000000,105600000,-36400000,350100000,486500000,129600000,-81300000,-17200000,None,397400000,-20200000,31100000,None,None,-36400000
2019-09-30,USD,-300000,-236300000,-247600000,-214900000,80400000,8600000,-200000,-143800000,137100000,110500000,349500000,386700000,119300000,-80100000,8500000,None,276900000,-57300000,32400000,None,None,110500000
2019-06-30,USD,-300000,172400000,-591500000,-555200000,191400000,112700000,-11000000,133200000,121400000,37000000,515800000,129300000,115000000,-80100000,12400000,None,176600000,-22300000,36000000,None,None,37000000
2019-03-31,USD,-400000,912400000,-141300000,-101600000,574300000,507400000,-9400000,786100000,351700000,269900000,-96200000,-1352000000,110500000,-79600000,22100000,None,-1285600000,-118800000,39300000,None,None,269900000
2018-12-31,USD,-15500000,5900000,-256500000,-207400000,97600000,5200000,-5500000,124600000,127800000,9200000,260500000,62100000,109800000,-75600000,-11300000,None,-800000,-45100000,33600000,None,None,9200000
2018-09-30,USD,-400000,-376200000,-208100000,-179600000,48500000,-44800000,-31500000,-323200000,138400000,-61600000,191300000,342400000,106200000,-75300000,13500000,0,315000000,-19500000,28100000,None,None,-61600000
2018-06-30,USD,1000000,119100000,-358800000,-328200000,220800000,132100000,-15700000,-14200000,123700000,304200000,530900000,-1244000000,104200000,-74800000,1800000,0,408100000,-77500000,31600000,None,None,304200000
2018-03-31,USD,-700000,1024900000,-86900000,-55100000,139700000,69500000,-6500000,920700000,286000000,-235000000,-217600000,-50400000,98800000,-76100000,12400000,0,-1505400000,-71500000,31100000,-1505400000,None,-235000000
2017-12-31,USD,-300000,138400000,-91000000,-55300000,97600000,-1200000,-11400000,188000000,113200000,302900000,395100000,182000000,96600000,-44900000,-42500000,0,-47700000,-176400000,35400000,41300000,None,276000000
2017-09-30,USD,-2300000,-235600000,-125500000,-95000000,-95700000,-165600000,-4500000,-279500000,137800000,-37400000,253700000,-2100000,100100000,-70000000,4600000,0,0,36400000,28200000,217100000,14500000,-22900000
2017-06-30,USD,-1100000,469500000,-116400000,-79000000,169500000,99100000,-6900000,81400000,180400000,18400000,35700000,-397700000,95300000,-70200000,6700000,0,0,-39400000,36300000,-272400000,5400000,23800000
2017-03-31,USD,-5200000,-36000000,-178100000,-143600000,89200000,19900000,-10600000,165200000,67800000,11500000,169700000,234400000,93800000,-71400000,12700000,0,0,16000000,29300000,-206300000,7000000,18500000
2016-12-31,USD,-9600000,248300000,-207200000,-118600000,68700000,2300000,1700000,766800000,101000000,28800000,233700000,47700000,89300000,-35100000,-33000000,0,-777200000,-36500000,79000000,-216100000,-15100000,13700000
2016-09-30,USD,-10300000,-372800000,-106400000,-60400000,51600000,-14500000,1700000,-17000000,130400000,122500000,243400000,57200000,88900000,-67900000,100000,0,0,-57000000,35700000,396700000,-1800000,120700000
2016-06-30,USD,-5500000,584200000,-127200000,-80500000,209800000,80200000,2500000,-354800000,155700000,-11400000,35600000,-424500000,88600000,-67500000,-64600000,0,0,-43800000,41200000,-362600000,-2900000,-14300000
2016-03-31,USD,-6500000,-117600000,-128400000,-60000000,66700000,-34100000,600000,None,57900000,-53100000,109400000,199400000,84000000,-68900000,-32500000,0,0,-15500000,61900000,-60800000,-1900000,-55000000
2015-12-31,USD,-8900000,181100000,-201400000,-165300000,61500000,-11100000,-2100000,345800000,62300000,113600000,326100000,158700000,93800000,-34900000,-35600000,0,-258900000,-46800000,27200000,-123000000,-2900000,110700000
2015-09-30,USD,-13300000,-91000000,-151100000,-108700000,32000000,-36000000,-1400000,None,133300000,57700000,244800000,5800000,81900000,-77400000,10800000,0,0,-57500000,29100000,172300000,-9700000,48000000
2015-06-30,USD,-6000000,397600000,-68800000,-37900000,38700000,141600000,4700000,None,139300000,41200000,-31600000,-418700000,82300000,-71900000,170100000,0,0,-52800000,24900000,-179300000,3700000,44900000
