fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,1584000000,214800000,161200000,1422800000,1208000000,153700000,None,None,171700000,8100000,815600000,None,1208000000,170700000,50000000,9900000,None,-50000000,None,None,None,9900000,1300000,None,161800000,153700000,None
2020-03-31,USD,1866900000,257700000,185400000,1681500000,1423800000,346300000,None,None,356000000,9100000,896200000,None,1423800000,121100000,50500000,600000,-62900000,-50500000,None,None,None,600000,107800000,None,355400000,346300000,None
2019-12-31,USD,1721400000,280300000,280900000,1440500000,1160200000,98500000,None,None,84000000,7100000,857400000,None,1160200000,170700000,48100000,-21600000,-48100000,-48100000,33100000,None,None,-21600000,34700000,None,105600000,98500000,None
2019-09-30,USD,1825200000,268000000,397400000,1427800000,1159800000,126100000,None,None,114800000,11000000,838700000,None,1159800000,159700000,46600000,-22300000,-46600000,-46600000,-13200000,None,None,-22300000,21600000,None,137100000,126100000,None
2019-06-30,USD,1657800000,257700000,292000000,1365800000,1108100000,110100000,None,None,105500000,11300000,806300000,None,1108100000,151400000,44900000,-15900000,-44900000,-44900000,-7700000,None,None,-15900000,18100000,None,121400000,110100000,None
2019-03-31,USD,1990600000,262500000,382500000,1608100000,1345600000,334100000,None,None,321800000,17600000,837100000,None,1345600000,146500000,40200000,-42200000,-40200000,-40200000,-12300000,None,None,-29900000,54200000,None,351700000,334100000,None
2018-12-31,USD,1657400000,237100000,434200000,1223200000,986100000,117300000,0,0,43200000,10500000,760100000,None,986100000,146300000,36500000,None,None,None,3200000,0,0,-84600000,-41400000,0,127800000,117300000,None
2018-09-30,USD,1778500000,227700000,508800000,1269700000,1042000000,127600000,0,0,90300000,10800000,765700000,None,1042000000,149300000,36700000,None,None,None,0,0,0,-48100000,-50400000,0,138400000,127600000,None
2018-06-30,USD,1660400000,222800000,441800000,1218600000,995800000,114900000,0,0,103600000,8800000,724700000,None,995800000,133600000,33900000,None,None,None,0,0,0,-20100000,-24900000,0,123700000,114900000,None
2018-03-31,USD,1837700000,216100000,431200000,1406500000,1190400000,273700000,0,0,242300000,12300000,775800000,None,1190400000,141000000,31300000,None,None,None,0,0,0,-43700000,-34900000,0,286000000,273700000,None
2017-12-31,USD,1599000000,226300000,420500000,1178500000,952200000,105100000,0,0,82100000,8100000,738900000,None,952200000,100000000,31200000,None,None,None,0,0,0,-31100000,-176800000,0,113200000,105100000,None
2017-09-30,USD,1584500000,214200000,451400000,1133100000,918900000,130400000,0,0,96700000,7400000,680100000,None,918900000,110700000,31400000,None,None,None,0,0,0,-41100000,0,0,137800000,130400000,None
2017-06-30,USD,1563400000,211600000,397100000,1166300000,954700000,171900000,0,0,147000000,8500000,675700000,None,954700000,100400000,31600000,None,None,None,0,0,0,-33400000,0,0,180400000,171900000,None
2017-03-31,USD,1412700000,200400000,366900000,1045800000,845400000,55700000,0,0,52300000,12100000,657600000,None,845400000,105600000,29900000,None,None,None,0,0,0,-15500000,0,0,67800000,55700000,None
2016-12-31,USD,1385000000,199000000,329500000,1055500000,856500000,95100000,0,0,68800000,5900000,659200000,None,856500000,100200000,28300000,None,None,None,0,0,0,-32200000,-162600000,0,101000000,95100000,None
2016-09-30,USD,1482300000,189600000,449700000,1032600000,843000000,122800000,0,0,94900000,7600000,626600000,None,843000000,93000000,28500000,None,None,None,0,0,0,-35500000,0,0,130400000,122800000,None
2016-06-30,USD,1427100000,204600000,325000000,1102100000,897500000,150000000,0,0,137500000,5700000,631000000,None,897500000,101800000,27200000,None,None,None,0,0,0,-18200000,0,0,155700000,150000000,None
2016-03-31,USD,1300400000,204500000,304400000,996000000,791500000,46500000,0,0,55700000,11400000,622100000,None,791500000,87900000,25800000,None,None,None,0,0,0,-2200000,0,0,57900000,46500000,None
2015-12-31,USD,1334900000,629000000,935100000,399800000,-229200000,62300000,0,0,28400000,5900000,1784100000,None,-229200000,-1005100000,77000000,None,None,None,0,0,0,-39800000,-199500000,0,68200000,62300000,None
2015-09-30,USD,1454800000,208100000,418900000,1035900000,827800000,133300000,0,0,105700000,7600000,604900000,None,827800000,91600000,25600000,None,None,None,0,0,0,-35200000,0,0,140900000,133300000,None
2015-06-30,USD,1371400000,207100000,306800000,1064600000,857500000,139300000,0,0,128500000,8300000,615100000,None,857500000,87900000,26000000,None,None,None,0,0,0,-17600000,0,0,147600000,139300000,None
