fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,2764200000,51300000,None,405100000,2092900000,671300000,None,485800000,7700000,315500000,851900000,161400000,583800000,1003900000,861300000,293200000,293200000,-216300000,401500000,1514400000,None,458600000,25000000,80400000,338400000,15800000,82300000,None,None,7700000,None,315500000,-13200000,None,635600000,None,1249800000,41300000,338400000,893200000,1231600000,None,None,None,577600000,2764200000,1028900000,None,77600000
2020-03-31,USD,2740500000,54700000,None,419300000,2123700000,616800000,None,464700000,7700000,276300000,852400000,161400000,594100000,902600000,882100000,289000000,289000000,-226300000,403200000,1473600000,None,400700000,None,151700000,345300000,18000000,128400000,None,None,7700000,None,276300000,-13200000,None,647600000,None,1266900000,43900000,345300000,896300000,1241600000,None,None,None,572300000,2740500000,902600000,None,77600000
2019-12-31,USD,2707800000,58200000,None,372900000,2131100000,576700000,None,457900000,7700000,244900000,869800000,161400000,612300000,932600000,869900000,284700000,282600000,-236500000,457900000,1418000000,None,357100000,None,112500000,306700000,24000000,127300000,None,None,7700000,None,244900000,-12700000,None,1070200000,None,1289800000,86800000,352300000,1261200000,1261200000,None,None,None,573300000,2707800000,932600000,None,77300000
2019-09-30,USD,2650700000,61600000,None,383000000,2084000000,566700000,None,494900000,7700000,219600000,807500000,161400000,643400000,797000000,875600000,280400000,280400000,-218500000,383500000,1351000000,None,343700000,None,171000000,359200000,30300000,100300000,None,None,7700000,None,219600000,-12700000,None,693200000,None,1299700000,41700000,359200000,849200000,1208400000,None,None,None,570600000,2650700000,797000000,None,77300000
2019-06-30,USD,2549000000,65000000,None,369400000,2028000000,521000000,None,451800000,7700000,186700000,808600000,161400000,351700000,744300000,811600000,278100000,278100000,-225400000,385600000,1241200000,None,294600000,None,127500000,363700000,21700000,81700000,None,None,7700000,None,186700000,-12700000,None,695800000,None,1307800000,44100000,363700000,852700000,1216400000,None,None,None,564700000,2549000000,744300000,None,77100000
2019-03-31,USD,2533200000,68400000,None,364700000,2067000000,466200000,None,469400000,7700000,142600000,810200000,161300000,640100000,706600000,842500000,275800000,275800000,-232400000,392100000,1217500000,None,236500000,None,146200000,367900000,23100000,97300000,None,None,7700000,None,142600000,-12700000,None,693900000,None,1315700000,46400000,367900000,856600000,1224500000,None,None,None,561000000,2533200000,706600000,None,77100000
2018-12-31,USD,2490100000,71800000,None,357800000,2068800000,421300000,None,39800000,7700000,103900000,838200000,161300000,623000000,735300000,878300000,273100000,272300000,-239400000,399700000,1234300000,None,188200000,None,141200000,325900000,14900000,88700000,None,None,7700000,None,103900000,-12700000,None,623000000,None,1255800000,None,352300000,1190500000,1190500000,None,None,None,561800000,2490100000,735300000,None,76800000
2018-09-30,USD,2492600000,75300000,None,126100000,2096200000,396400000,0,39600000,7700000,80400000,831800000,161300000,746900000,608600000,908000000,271100000,271100000,-235300000,386500000,1122600000,None,159800000,3000000,189000000,356400000,22700000,86200000,0,0,7700000,0,80400000,-12700000,None,746900000,None,1370000000,None,356400000,831800000,1188200000,None,None,None,556300000,2492600000,611600000,None,76800000
2018-06-30,USD,2410100000,78700000,None,123200000,2190000000,220100000,0,34600000,7400000,15400000,941600000,161300000,741800000,514700000,667400000,30400000,30400000,-247600000,357800000,1070500000,None,-19900000,44900000,134600000,581000000,18900000,104100000,0,0,7400000,0,15400000,-64500000,None,741800000,None,1339600000,None,581000000,941600000,1522600000,None,None,None,509400000,2410100000,559600000,None,73900000
2018-03-31,USD,2385900000,82100000,None,156700000,2216700000,169200000,12500000,36400000,7400000,-19400000,952700000,161300000,744100000,432800000,677700000,27700000,27700000,-260100000,352800000,1045600000,None,-74200000,20000000,170100000,586300000,18000000,133400000,0,0,7400000,0,-19400000,-64500000,None,744100000,None,1340300000,None,586300000,952700000,1539000000,None,None,None,505800000,2385900000,452800000,None,73800000
