fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-25000000,-23300000,-38200000,-25000000,-5000000,-5200000,-300000,47400000,39200000,101300000,144700000,32600000,19900000,None,100000,None,71300000,5000000,13200000,71300000,None,101300000
2020-03-31,USD,-3000000,-28300000,-3000000,None,-4900000,-9900000,-7900000,-11900000,31400000,-30000000,-17100000,-7500000,19600000,None,2900000,None,-39200000,6900000,3000000,-39200000,None,-30000000
2019-12-31,USD,-25500000,22500000,-25500000,1100000,-4900000,-5800000,-8500000,16900000,25300000,133500000,164800000,19500000,23500000,None,7600000,None,58500000,15500000,26600000,58500000,None,133500000
2019-09-30,USD,-9400000,4800000,-9400000,1100000,-5100000,-3000000,None,-42300000,32900000,52800000,65200000,41300000,20800000,None,2100000,None,-43500000,8900000,9400000,-43500000,None,52800000
2019-06-30,USD,-5400000,-39800000,-5400000,1100000,-5300000,-5800000,None,-25600000,44100000,37700000,48900000,-4300000,19800000,None,-500000,None,18700000,10400000,5400000,18700000,None,37700000
2019-03-31,USD,-1500000,13300000,-1500000,1100000,-5500000,-9500000,None,-5100000,38700000,-28700000,-17700000,-70800000,19800000,None,-4000000,None,-4900000,-13800000,1500000,-4900000,None,-28700000
2018-12-31,USD,3000000,20200000,-19300000,1900000,-4800000,-4700000,-3300000,35800000,23500000,131700000,155700000,55800000,21100000,None,100000,None,8600000,-12700000,22300000,47800000,None,131700000
2018-09-30,USD,42000000,-27200000,33300000,1900000,-13500000,-11900000,-3300000,-31700000,65000000,93900000,72500000,40100000,20300000,0,1600000,49700000,2800000,28700000,8700000,-54400000,None,93900000
2018-06-30,USD,-24600000,8500000,-32700000,1900000,-5200000,-5300000,-3300000,81700000,34800000,81900000,119900000,22700000,20000000,0,-100000,0,48400000,-1600000,8100000,35500000,None,81900000
2018-03-31,USD,-24600000,7600000,-2200000,1900000,-5100000,-4600000,-3300000,-43500000,14000000,-102200000,-95400000,-69200000,19800000,0,500000,0,-96600000,8600000,4100000,-76200000,None,-102200000
2017-12-31,USD,-20000000,3500000,-38900000,1900000,-5000000,-5500000,-3300000,2100000,-52000000,142500000,186900000,19300000,20800000,0,-500000,24300000,-67600000,103400000,18900000,67600000,None,142500000
2017-09-30,USD,-20000000,28100000,-6400000,-2000000,-5000000,-2900000,None,-13700000,12600000,-21100000,-11800000,-48000000,20700000,0,2100000,3600000,135200000,18600000,4400000,-47400000,None,-21100000
2017-06-30,USD,-20000000,12900000,-3400000,0,-5000000,-5900000,None,32200000,24300000,31500000,40800000,2700000,21200000,0,-900000,-4000000,87800000,17200000,3400000,-33500000,None,31500000
2017-03-31,USD,-20000000,-6800000,-17700000,-15000000,-5000000,-7400000,None,-5800000,5900000,-28200000,-3100000,-200000,18400000,0,-2400000,24700000,54300000,9200000,2700000,-54300000,None,-28200000
2016-12-31,USD,-20000000,114400000,-17100000,500000,188900000,188600000,-9500000,-31800000,18100000,281000000,109500000,25300000,19600000,0,-300000,-27900000,500000,-50900000,17100000,10900000,None,281000000
2016-09-30,USD,None,-55200000,-10500000,500000,-89600000,-89000000,None,-11000000,-11100000,-54400000,45100000,12800000,15800000,0,600000,7700000,18800000,45600000,11000000,29500000,None,-54400000
2016-06-30,USD,None,-11800000,-11800000,0,5000000,4500000,300000,-6200000,5900000,28200000,35500000,-27600000,16100000,0,-800000,5700000,2500000,41700000,11800000,5500000,None,28200000
2016-03-31,USD,None,-41100000,-7700000,0,-14400000,-13600000,None,-3800000,5100000,-53000000,-31700000,-300000,15700000,0,800000,-14400000,0,16100000,7700000,-12800000,None,-53000000
2015-12-31,USD,-20000000,-250800000,-14400000,1900000,-15600000,-18000000,-9500000,4800000,84000000,-31200000,1200000,None,61200000,None,4200000,15600000,24000000,60000000,14400000,None,None,None
2015-09-30,USD,-20000000,-36500000,-17900000,1000000,-9200000,-8900000,500000,-8700000,7400000,-32200000,-5400000,3400000,17600000,0,-200000,-9800000,-1000000,-300000,18900000,12800000,None,-32200000
2015-06-30,USD,None,53700000,-8500000,0,-43500000,-43800000,500000,None,-38100000,-10200000,42100000,13200000,16700000,0,-800000,1600000,13800000,8000000,8500000,-13000000,None,-10200000
