fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,15655000,2873000,188000,15467000,13266000,8083000,None,None,8938000,735000,3057000,672000,12594000,4144000,-10647000,120000,23835000,10647000,None,-4328000,None,120000,None,None,8818000,6242000,1841000
2020-03-31,USD,9149000,431000,912000,8237000,6286000,400000,None,None,1177000,1096000,1830000,-1520000,7806000,3710000,-14216000,-319000,27286000,14216000,None,-5109000,None,-319000,None,None,1496000,400000,None
2019-12-31,USD,13685000,20703000,3685000,10000000,-10919000,6657000,None,None,7107000,462000,1593000,-216000,-10703000,3973000,13884000,-12000,27113000,13229000,None,None,None,-12000,-247000,None,7119000,6657000,None
2019-09-30,USD,14733000,1216000,19175000,14733000,14100000,7691000,None,None,8250000,532000,1386000,583000,13517000,4464000,-13406000,27000,27723000,13406000,None,None,None,27000,None,None,8223000,7691000,None
2019-06-30,USD,20446000,887000,19999000,20446000,19634000,13027000,None,None,13664000,599000,1853000,75000,19559000,4117000,-12689000,38000,28128000,12689000,None,None,None,38000,-182000,None,13626000,13027000,None
2019-03-31,USD,14723000,786000,20741000,14723000,14398000,7330000,None,None,8192000,791000,1943000,461000,13937000,4263000,-13767000,71000,29452000,13767000,None,None,None,71000,None,None,8121000,7330000,None
2018-12-31,USD,54745000,858000,3408000,54745000,54213000,6596000,0,0,7269000,711000,1596000,326000,53887000,4171000,40338000,None,None,None,0,0,0,-38000,0,0,7307000,6596000,None
2018-09-30,USD,457000,1001000,3458000,457000,-1141000,6558000,0,0,7579000,937000,1446000,-597000,-544000,3888000,-14054000,None,None,None,0,0,0,84000,-836000,0,7495000,6558000,None
2018-06-30,USD,689000,944000,3616000,689000,-58000,7521000,0,0,8215000,692000,1471000,197000,-255000,4147000,-13891000,None,None,None,0,0,0,2000,0,0,8213000,7521000,None
2018-03-31,USD,1511000,449000,2918000,1511000,1062000,7665000,0,0,8338000,657000,1600000,None,1062000,4356000,-13097000,None,None,None,0,0,0,16000,0,0,8322000,7665000,None
2017-12-31,USD,25179000,32286000,6211000,42764000,-49050000,6184000,0,0,6673000,454000,7680000,None,18968000,2107000,11382000,None,None,None,0,0,0,35000,-1131000,0,18517000,6184000,None
2017-09-30,USD,329000,1151000,6463000,329000,-822000,7470000,0,0,7763000,246000,1407000,None,-822000,3905000,-13754000,None,None,None,0,0,0,47000,0,0,7716000,7470000,None
2017-06-30,USD,535000,637000,5737000,535000,-320000,6864000,0,0,7150000,238000,1393000,-218000,-102000,3707000,-12428000,None,None,None,0,0,0,48000,0,0,7102000,6864000,None
2017-03-31,USD,462000,324000,4968000,462000,138000,8409000,0,0,8699000,289000,1143000,None,138000,3501000,-13156000,None,None,None,0,0,0,1000,0,0,8698000,8409000,None
2016-12-31,USD,19875000,16747000,5569000,37585000,-14835000,5958000,0,0,6158000,206000,5433000,None,14306000,2393000,7583000,None,None,None,0,0,0,17000,-565000,0,18114000,5958000,None
2016-09-30,USD,-215000,157000,4202000,-215000,-372000,7623000,0,0,7905000,264000,852000,None,-372000,2705000,-11766000,None,None,None,0,0,0,18000,0,0,7887000,7623000,None
2016-06-30,USD,327000,113000,3956000,327000,214000,6605000,0,0,6887000,256000,724000,None,214000,2964000,-10315000,None,None,None,0,0,0,26000,0,0,6861000,6605000,None
2016-03-31,USD,540000,162000,3496000,540000,378000,7651000,0,0,7960000,312000,767000,None,378000,2522000,-10827000,None,None,None,0,0,0,-3000,0,0,7963000,7651000,None
2015-12-31,USD,15995000,11363000,3317000,32783000,0,8064000,0,0,8371000,329000,4783000,None,12678000,2206000,4307000,None,None,None,0,0,0,-6000,0,0,25792000,8064000,None
2015-09-30,USD,217000,2875000,3004000,217000,-2658000,7614000,0,0,7933000,311000,508000,None,-2658000,2367000,-10591000,None,None,None,0,0,0,8000,0,0,7925000,7614000,None
2015-06-30,USD,232000,3081000,3135000,232000,-2849000,5436000,0,0,5675000,223000,645000,None,-2849000,2436000,-8524000,None,None,None,0,0,0,16000,0,0,5659000,5436000,None
