fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,90142000,89345000,174616000,-84474000,-173443000,-175751000,52819000,None,-175751000,None,35482000,376000,-173819000,1044000,2308000,0,None,-2308000,None,None,None,None,376000,None,-175751000,-175751000,None
2020-03-31,USD,88478000,119890000,27713000,60765000,-58775000,-60747000,81231000,None,-60747000,None,37983000,350000,-59125000,676000,1972000,0,-1972000,-1972000,None,None,None,None,350000,None,-60747000,-60747000,None
2019-12-31,USD,69555000,126299000,38147000,31408000,-95445000,-94483000,80412000,None,-96235000,None,44918000,-554000,-94891000,969000,790000,-1752000,-790000,-790000,None,None,None,-1752000,-554000,None,-94483000,-94483000,None
2019-09-30,USD,91977000,109619000,38263000,53714000,-56090000,-54585000,74512000,None,-55862000,None,34178000,-185000,-55905000,929000,-228000,-1277000,228000,228000,None,None,None,-1277000,-185000,None,-54585000,-54585000,None
2019-06-30,USD,100803000,122657000,37669000,63134000,-59500000,-58170000,85694000,None,-59015000,None,36068000,23000,-59523000,895000,-485000,-845000,485000,485000,None,None,None,-845000,23000,None,-58170000,-58170000,None
2019-03-31,USD,72666000,117378000,31257000,41409000,-76047000,-72421000,82351000,None,-75178000,None,34291000,-78000,-75969000,736000,-869000,-2757000,869000,869000,None,None,None,-2757000,-78000,None,-72421000,-72421000,None
2018-12-31,USD,59850000,142240000,7768000,52082000,-90129000,-60054000,87052000,0,-88392000,0,55121000,29000,-90158000,67000,-1737000,None,None,None,0,0,0,-28338000,-26105000,0,-60054000,-60054000,None
2018-09-30,USD,53169000,81012000,70634000,53169000,-27827000,-26047000,70634000,0,-26047000,0,10378000,16000,-27843000,0,-1780000,None,None,None,0,0,0,0,1796000,0,-26047000,-26047000,None
2018-06-30,USD,48793000,84455000,71917000,48793000,-35630000,-34069000,71917000,0,-34069000,0,12538000,32000,-35662000,0,-1561000,None,None,None,0,0,0,0,1593000,0,-34069000,-34069000,None
2018-03-31,USD,45930000,70428000,61404000,45930000,-24494000,-23418000,61404000,0,-23418000,0,9024000,4000,-24498000,0,-1076000,None,None,None,0,0,0,0,1080000,0,-23418000,-23418000,None
2017-12-31,USD,87316000,75949000,75752000,87316000,9482000,12281000,68382000,0,12281000,0,7567000,-1885000,11367000,0,-2799000,None,None,None,0,0,0,0,3003000,0,12281000,12281000,None
2017-09-30,USD,41283000,65459000,65292000,41283000,-23134000,-23134000,58711000,0,-23134000,0,6748000,1042000,-24176000,0,0,None,None,None,0,0,0,0,0,0,-23134000,-23134000,None
2017-06-30,USD,28520000,50656000,50538000,28520000,-21518000,-21518000,43751000,0,-21518000,0,6905000,618000,-22136000,0,0,None,None,None,0,0,0,0,0,0,-21518000,-21518000,None
2017-03-31,USD,20865000,65837000,65702000,20865000,-44543000,-44543000,60049000,0,-44543000,0,5788000,429000,-44972000,0,0,None,None,None,0,0,0,0,0,0,-44543000,-44543000,None
2016-12-31,USD,1535000,39579000,39455000,1535000,-37628000,-37862000,33435000,0,-37862000,0,6144000,416000,-38044000,0,0,None,None,None,0,0,0,0,713000,0,-37862000,-37862000,None
2016-09-30,USD,0,36182000,36088000,0,-36308000,-36308000,31238000,0,-36308000,0,4944000,-126000,-36182000,0,0,None,None,None,0,0,0,0,0,0,-36308000,-36308000,None
2016-06-30,USD,0,36188000,36142000,0,-35779000,-35779000,30877000,0,-35779000,0,5311000,409000,-36188000,0,0,None,None,None,0,0,0,0,0,0,-35779000,-35779000,None
2016-03-31,USD,0,26046000,26014000,0,-26032000,-25798000,20235000,0,-25798000,0,5811000,14000,-26046000,0,-234000,None,None,None,0,0,0,0,0,0,-25798000,-25798000,None
2015-12-31,USD,0,41828000,43016000,-43016000,-19763000,-19857000,26903000,0,-19604000,0,14925000,287000,-20050000,0,-159000,None,None,None,0,0,0,0,797000,0,-19604000,-19857000,None
2015-09-30,USD,64000,19678000,0,64000,-19678000,-19475000,15790000,0,-19539000,0,3888000,None,-19678000,0,-139000,None,None,None,0,0,0,0,0,0,-19539000,-19475000,None
2015-06-30,USD,84000,-10889000,0,84000,-10889000,-10689000,-7182000,0,-10773000,0,-3707000,None,-10889000,0,-116000,None,None,None,0,0,0,0,0,0,-10773000,-10689000,None
