fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,527937000,80127000,None,10480000,48909000,479028000,None,4716000,102000,-573697000,183000,None,3096000,135744000,35181000,None,None,1481000,16541000,428173000,None,398901000,254144000,14049000,None,13756000,4253000,None,None,None,None,None,None,None,None,None,99764000,13545000,None,183000,13728000,None,None,None,None,None,None,None,None
2020-03-31,USD,559921000,81589000,None,10813000,50230000,509691000,None,4001000,101000,-524120000,None,None,3084000,163320000,36332000,None,None,391000,16305000,458943000,None,428102000,257982000,10673000,None,13723000,10372000,None,None,None,None,None,None,None,100978000,None,100978000,13898000,None,None,13898000,None,None,None,1033319000,None,421302000,None,101000000
2019-12-31,USD,599250000,83051000,None,10689000,56246000,543004000,None,2633000,101000,-481270000,None,None,2939000,306866000,41998000,None,None,5000,16355000,496905000,None,459953000,156806000,10496000,None,8817000,10216000,None,None,None,None,None,None,None,102345000,None,102345000,14248000,None,None,14248000,None,None,None,1024168000,None,463672000,None,95000000
2019-09-30,USD,383167000,84529000,None,5809000,57679000,325488000,None,1977000,94000,-563676000,None,None,3620000,129329000,43121000,None,None,-63000,16577000,278441000,None,240959000,123362000,10653000,None,8641000,5711000,None,None,None,None,None,None,None,104726000,None,104726000,14558000,None,None,14558000,None,None,None,889133000,None,252691000,None,93000000
2019-06-30,USD,434120000,86006000,None,6713000,65478000,368642000,None,1713000,93000,-532178000,None,None,3426000,150234000,50569000,None,None,-110000,16977000,327711000,None,282636000,145374000,9193000,None,8286000,7936000,None,None,None,None,None,None,None,106409000,None,106409000,14909000,None,None,14909000,None,None,None,900837000,None,295608000,None,93000000
2019-03-31,USD,458717000,87468000,None,11618000,69853000,388864000,None,1863000,93000,-494855000,1725000,None,3426000,201027000,53110000,1306000,1306000,-27000,16938000,350885000,None,301396000,120765000,10269000,15018000,None,6153000,None,None,None,None,None,None,None,107832000,None,107832000,15018000,None,None,16743000,None,None,None,883653000,None,321792000,None,94000000
2018-12-31,USD,365261000,88914000,None,10029000,88537000,276724000,None,26322000,89000,-522042000,7876000,None,3416000,86454000,80661000,None,None,-324000,5696000,267235000,None,187810000,166155000,4597000,None,None,12068000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,799001000,None,252609000,None,81000000
2018-09-30,USD,379128000,40969000,None,8397000,97717000,281411000,0,33642000,87000,-451485000,7117000,0,3054000,116206000,90600000,None,None,-289000,5757000,329348000,None,240442000,204109000,636000,0,0,3071000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,87000000
2018-06-30,USD,395005000,1714000,None,3575000,104601000,290404000,0,36851000,86000,-387894000,7390000,0,3047000,216840000,97211000,None,None,-297000,1523000,388721000,None,288690000,165011000,3295000,0,0,2706000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,82000000
2018-03-31,USD,252465000,1191000,None,5628000,106165000,146300000,0,50795000,67000,-325848000,7869000,0,661000,69907000,98296000,None,None,-468000,50000,250563000,None,145109000,175028000,None,0,0,2578000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,67000000
2017-12-31,USD,268804000,1221000,None,1302000,89171000,179633000,8306000,78472000,67000,-296221000,8318000,0,1882000,58367000,80853000,None,None,-451000,77000,266845000,None,166604000,201763000,5413000,0,0,2381000,55267000,56936000,0,100000000,-91445000,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30000000
2017-09-30,USD,289349000,1251000,None,1249000,91506000,197843000,0,71445000,67000,-261052000,18049000,0,1365000,110366000,73457000,None,None,-222000,104000,287880000,None,196592000,175765000,500000,0,0,2012000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,37000000
2017-06-30,USD,124104000,1281000,None,3939000,207087000,-82983000,30515000,68904000,0,-246958000,30533000,0,1383000,75445000,69047000,107507000,107507000,-84000,114000,122607000,None,-184264000,43223000,None,107507000,0,143000,0,0,0,100000000,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
