fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,22377000,73468000,5046000,17331000,-49195000,-49577000,29731000,None,-50182000,None,42139000,None,-51091000,-3448000,None,-605000,None,None,None,None,None,-605000,909000,None,-49577000,-49577000,None
2020-03-31,USD,16074000,61333000,4783000,11291000,-43359000,-42850000,17355000,None,-43618000,None,46246000,None,-45259000,-7051000,None,-768000,1771000,None,None,None,None,-768000,1641000,None,-42850000,-42850000,None
2019-12-31,USD,277479000,194316000,5030000,272449000,89933000,82406000,148165000,None,84047000,None,51434000,None,83163000,-10313000,None,1641000,1223000,None,None,None,None,1641000,884000,None,82406000,68914000,None
2019-09-30,USD,20624000,53214000,2401000,18223000,-30685000,-31498000,24797000,None,-31239000,None,34905000,None,-32590000,-8889000,None,259000,1487000,None,None,None,None,259000,1351000,None,-31498000,-31498000,None
2019-06-30,USD,26623000,65329000,5783000,20840000,-36550000,-37323000,20271000,None,-37163000,None,50740000,None,-38706000,-11465000,None,160000,1571000,None,None,None,None,160000,1543000,None,-37323000,-37323000,None
2019-03-31,USD,163816000,137609000,2444000,161372000,27860000,27187000,99619000,None,27319000,None,44602000,None,26207000,-9056000,None,132000,1224000,None,None,None,None,132000,1112000,None,27187000,27187000,None
2018-12-31,USD,10197000,82405000,34343000,-24146000,-72208000,-70557000,24797000,0,-70557000,0,46050000,None,-72208000,-9056000,0,None,None,None,0,0,0,214000,1651000,0,-70557000,-78349000,None
2018-09-30,USD,19241000,81951000,37088000,-17847000,-62710000,-63591000,20271000,0,-63358000,0,44162000,None,-62710000,-9056000,0,None,None,None,0,0,0,233000,-648000,0,-63591000,-63591000,None
2018-06-30,USD,18321000,81744000,39457000,-21136000,-63423000,-62046000,99619000,0,-61832000,0,42287000,None,-63423000,-9056000,0,None,None,None,0,0,0,214000,1591000,0,-62046000,-62046000,None
2018-03-31,USD,17108000,47435000,27970000,-10862000,-30327000,-29627000,27970000,0,-29627000,0,19465000,None,-30327000,0,0,None,None,None,0,0,0,0,700000,0,-29627000,-29627000,None
2017-12-31,USD,18036000,188660000,42930000,-83489000,-70642000,-174046000,25969000,0,-35960000,0,36981000,None,-141967000,0,-1955000,None,None,None,0,0,0,-791000,186000,0,-70998000,32721000,None
2017-09-30,USD,9905000,-50190000,25957000,9597000,-158178000,64430000,17639000,0,-144677000,0,4676000,None,32771000,0,224000,None,None,None,0,0,0,2066000,61000,0,-159324000,-272188000,None
2017-06-30,USD,5713000,25401000,25345000,-19194000,168162000,48410000,18488000,0,120706000,0,-9352000,None,48599000,0,966000,None,None,None,0,0,0,0,-122000,0,169116000,206646000,None
2017-03-31,USD,6094000,0,69411000,9597000,-59812000,-60353000,64794000,0,-60353000,0,4676000,None,-59873000,0,541000,None,None,None,0,0,0,0,61000,0,-60353000,-60353000,None
2016-12-31,USD,0,83512000,68459000,-68459000,-83512000,-83217000,28713000,0,-83217000,0,33818000,None,-83512000,0,-1731000,None,None,None,0,0,0,0,295000,0,-83217000,-83217000,None
2016-09-30,USD,0,0,0,0,0,0,17012000,0,0,0,19877000,None,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None
2016-06-30,USD,0,0,0,0,0,0,10944000,0,0,0,13679000,None,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None
2016-03-31,USD,0,0,0,0,0,0,11790000,0,0,0,16007000,None,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None
2015-12-31,USD,0,61438000,50885000,-50885000,-61438000,-61422000,50885000,0,-61422000,0,61319000,None,-61438000,0,-1731000,None,None,None,0,0,0,0,16000,0,-61422000,-61422000,None
2015-09-30,USD,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None
2015-06-30,USD,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None
