fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-30534,567448,-30534,None,None,12580930,None,130559,-3628131,10634278,-1916118,None,11942,None,None,-448,342293,660219,0,None,None,None
2020-03-31,USD,2261901,505246,2261901,2261900,None,77,77,48240,-3538536,294995,-1966983,1275456,15770,None,80,1710,-278745,52116,0,-278745,None,294995
2019-12-31,USD,-6316088,156802,-6309838,6250,None,6965693,58,89955,-1339374,154150,-501705,-53334,19542,None,6965635,-32501,188019,539989,0,188019,None,154150
2019-09-30,USD,1077081,-244755,1077081,-100000,None,0,4817915,-287384,-837026,114855,-962226,-161717,19543,None,None,5760,34882,221087,0,34882,None,114855
2019-06-30,USD,469628,-462941,469628,-100000,None,0,4817915,127206,-794891,-391989,-861617,257692,19542,None,None,57059,57664,4258,0,57664,None,-391989
2019-03-31,USD,822502,107159,822502,822500,None,0,4817915,192002,-916958,73767,-748735,200511,15437,None,None,-16033,-152445,4247,0,-143098,None,73767
2018-12-31,USD,-426957,-327887,-426957,-100000,None,1950000,-50000,172890,-3837640,-1119663,-2642706,234190,61439,None,1950000,-4154,47067,877582,68214,68146,None,-1119663
2018-09-30,USD,3112743,449505,3082227,0,None,1950000,-50000,174384,-3083950,1025455,-2056772,366737,60144,0,3413311,20058,129395,1477,30516,129257,None,1025455
2018-06-30,USD,708212,472343,708341,0,None,1437875,-50000,-442899,-2067453,128696,-2017520,-436660,56451,0,1437875,-48425,-92725,-94258,129,-93518,None,128696
2018-03-31,USD,-3670291,-405499,-3708118,0,None,5717325,-50000,-122718,-1859991,208835,-1800372,-81588,59921,0,5717325,-50795,547773,2712,37827,534868,None,208835
2017-12-31,USD,-5000165,114744,-5017481,0,None,6746334,-50000,121767,-4021378,303299,-1425554,2652265,72347,0,6746334,-8127,-781508,2772,17316,-238177,None,303299
2017-09-30,USD,-2665197,134741,999585,0,None,3714000,-1596263,25985,-1177653,-62042,-1061627,49784,77269,0,0,102374,275541,-41921,74382,-206221,None,-62042
2017-06-30,USD,2812160,176365,-873039,0,None,16700,-1596263,-22758,-818009,-1887907,-1031568,43286,60663,0,16700,-112982,79906,10528,53965,-391419,None,-1887907
2017-03-31,USD,-106992,-338243,-123766,0,None,3697811,-1596263,96762,-1349270,2012382,-1561663,58614,60718,0,3697811,-100878,172513,45895,16774,61501,None,2012382
2016-12-31,USD,551617,388024,516339,0,None,10460845,-50000,166411,-1095831,-123160,-639499,-15542,39382,0,0,-126338,-138652,27977,35278,142829,None,-123160
2016-09-30,USD,940797,-256296,934236,0,None,0,None,None,310154,-183671,-1117907,131220,132874,0,0,24726,-45063,-1299609,6561,-160976,None,-183671
2016-06-30,USD,892718,22529,895028,0,None,0,None,None,-2517861,199141,-695887,1532371,57427,0,0,-5084,747629,136983,2310,77748,None,199141
2016-03-31,USD,1581958,-125558,1498186,0,None,0,None,None,0,-221669,-1719855,-1453027,56479,0,0,-80504,0,9213,83772,-126458,None,-221669
2015-12-31,USD,1193238,412438,1140541,6000,None,10460845,-50000,45241,-9311913,8687,-1131854,-3196225,58483,0,0,-176491,636000,1295421,52697,474520,None,8687
2015-09-30,USD,1184546,91314,1168801,6000,None,0,None,None,0,132138,-1036663,-1853110,80581,0,0,-133175,161000,1736164,15745,769563,None,132138
2015-06-30,USD,1646143,13881,1646799,655,None,0,None,None,0,-75010,-1721809,-3455394,80582,0,0,147914,0,-871588,1,-687002,None,-75009
