fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,-1888,3113672,377169,-379057,-3103618,-3628131,1916161,None,-3628131,None,811615,None,-3115560,None,None,0,29045,29045,None,None,None,None,-541616,None,-3628131,-3628131,None
2020-03-31,USD,363515,3664126,172871,190644,-3465108,-3538536,2483057,None,-3538536,None,1172195,80465,-3545573,8874,None,0,46703,46703,None,None,None,None,-39666,None,-3538536,-3538536,None
2019-12-31,USD,79585,1051486,346975,-267390,-1323406,-1339374,69986,None,-1339374,None,905020,-4530,-1318876,10002,None,0,20466,20466,None,66478,None,None,-107442,None,-1339374,-1339374,None
2019-09-30,USD,420812,1000791,285510,135302,-849922,-837026,57502,None,-837026,None,933288,15567,-865489,10001,None,0,22015,22015,None,None,None,None,6448,None,-837026,-837026,None
2019-06-30,USD,464513,1066359,219864,244649,-793367,-794891,60909,None,-794891,None,995448,28343,-821710,10002,None,0,27581,27581,None,None,None,None,-762,None,-794891,-794891,None
2019-03-31,USD,612123,1306188,245937,366186,-900204,-916958,88391,None,-916958,None,1132794,39798,-940002,10003,None,0,23040,31421,None,75000,None,None,-83377,None,-916958,-916958,None
2018-12-31,USD,279405,4663779,461506,-182101,-3528601,-3837641,257634,0,-3837641,0,2024128,-599146,-2929455,-52983,0,None,None,None,0,2435000,0,0,-1441767,0,-3837641,-3837641,None
2018-09-30,USD,557089,1288511,476453,80636,-3078317,-3083949,160867,0,-3083949,0,2032220,45983,-3124300,25424,0,None,None,None,0,-930000,0,0,-872296,0,-3083949,-3083949,None
2018-06-30,USD,526601,2336972,302826,223775,-2056994,-2067453,253371,0,-2067453,0,2007989,56203,-2113197,75612,0,None,None,None,0,0,0,0,18662,0,-2067453,-2067453,None
2018-03-31,USD,302475,1898432,297500,4975,-1854241,-1859991,391381,0,-1859991,0,1383996,39216,-1893457,123055,0,None,None,None,0,0,0,0,1777,0,-1859991,-1859991,None
2017-12-31,USD,938770,2658876,1533293,-594523,-3997578,-4021388,307654,0,-4021388,0,2234428,-744179,-3253399,116794,0,None,None,None,0,0,0,0,-749497,0,-4021388,-4021388,None
2017-09-30,USD,675831,1529880,323527,352304,-1177644,-1177644,290447,0,-1177644,0,1162328,-68,-1177576,77105,0,None,None,None,0,0,0,0,-5182,0,-1177644,-1177644,None
2017-06-30,USD,1072861,1602932,290591,782270,-816052,-818008,290841,0,-818008,0,1184818,4610,-820662,127273,0,None,None,None,0,0,0,0,10188,0,-818008,-818008,None
2017-03-31,USD,667250,1770682,258721,408529,-1375036,-1349270,348442,0,-1349270,0,1347184,-12883,-1362153,75056,0,None,None,None,0,0,0,0,-8029,0,-1349270,-1349270,None
2016-12-31,USD,653205,1381831,369511,283694,-1100442,-1095832,256009,0,-1095832,0,929191,-2305,-1098137,196631,0,None,None,None,0,-1299609,0,0,1158559,0,-1095832,-1095832,None
2016-09-30,USD,613198,75236,236700,376498,292369,310155,247578,0,310155,0,1084490,-8893,301262,-1256832,0,None,None,None,0,0,0,0,43105,0,310155,310155,None
2016-06-30,USD,956486,1694440,276848,679638,-1020672,-1008932,321989,0,-1008932,0,1329674,-5870,-1014802,42777,0,None,None,None,0,0,0,0,-30812,0,-1008932,-1008932,None
2016-03-31,USD,738023,2054953,200028,537995,-1524987,-1508929,363292,0,-1508929,0,1648884,-8029,-1516958,42777,0,None,None,None,0,0,0,0,0,0,-1508929,-1508929,None
2015-12-31,USD,468608,4122714,205474,263134,-3949620,-3576992,403450,0,-3576992,0,3676487,-90040,-3859580,42777,0,None,None,None,0,2630085,0,269344,-1665112,0,-3846336,-3576992,None
2015-09-30,USD,169473,2336933,177952,-8479,-2363931,-2326893,319646,0,-2326893,0,1486168,-18519,-2345412,531119,0,None,None,None,0,0,0,0,0,0,-2326893,-2326893,None
2015-06-30,USD,966922,2742938,341025,625897,-2147853,-2086229,378225,0,-2086229,0,2300070,-30812,-2117041,64643,0,None,None,None,0,0,0,0,0,0,-2086229,-2086229,None
