fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,CLP,312303124000,296738237000,197117673000,115185451000,12618139000,1302415000,None,None,2778792000,21011015000,98945474000,None,15564887000,6735922000,9839347000,2198708000,1240748000,-4547476000,None,None,None,2198708000,-8238619000,None,580084000,1302415000,None
2020-03-31,CLP,504614612000,429925052000,292631142000,211983470000,67582703000,47990518000,None,None,56611229000,21905621000,136026910000,None,74689560000,3542039000,10971474000,7622492000,1599965000,-10282316000,None,None,None,7228643000,-7796015000,None,48988737000,47494186000,None
2019-12-31,CLP,553733382000,458975080000,314879702000,238853680000,143175858000,90386377000,0,0,133321401000,20254258000,142574078000,0,94758302000,18659714000,9854457000,41868632000,900629000,28113534000,0,0,0,41868632000,10449565000,0,91452769000,90386377000,0
2019-09-30,CLP,406392750000,368371500000,248264915000,158127835000,36688886000,25320331000,0,0,26876249000,19710161000,119215820000,0,38021250000,2819365000,9812637000,1461970000,838614000,-9716271000,0,0,0,1461970000,-1428730000,0,25414279000,25320331000,0
2019-06-30,CLP,379717932000,344390610000,228330444000,151387488000,33907954000,15199739000,0,0,22861802000,19453233000,116238763000,0,35327322000,-714701000,11046152000,7829534000,1489405000,-9556747000,0,0,0,7915402000,-2908773000,0,15032268000,11596930000,0
2019-03-31,CLP,447262807000,380627958000,261430816000,185831991000,67636757000,46114636000,0,0,56610970000,20117167000,118073965000,0,66634849000,2440275000,11025787000,9959916000,1034336000,-9991451000,0,0,0,9920887000,-32428000,0,46651054000,46418290000,0
2018-12-31,USD,798345541.79,677368074.93,448547952.45,349797589.34,120977466.86,63861208.93,0,0,93219255.04,28676681.56,222370559.08,0,120977466.86,6449563.40,-15661759.37,None,None,None,0,0,0,28537099.42,-27758211.82,0,64682155.62,63861208.93,0
2018-09-30,USD,523807328.53,475333621.23,312566113.89,211241214.64,48473707.30,16401703.11,0,0,29420312.84,30311336.61,158148751.89,0,48473707.30,4618755.46,-14280100.79,None,None,None,0,0,0,13250123.33,-19053394.46,0,16170189.51,16401703.11,0
2018-06-30,USD,452890428.81,1.50,281338426.92,171552001.89,25800238.69,-5569835.27,0,0,9847493.37,31521536.13,137490214.44,0,25800238.69,8261548.75,-15930893.72,None,None,None,0,0,0,15646725.60,-15952745.32,0,-5799232.24,-5569835.27,0
2018-03-31,USD,786226983.98,659490889.42,439077038.09,347149945.89,126736094.57,74579609.61,0,0,103194767.75,37117318.29,215717696.62,None,126736094.57,4696154.70,-17163214.02,None,None,None,0,0,0,27655205.40,-23541326.81,0,75539562.35,74579609.61,None
2017-12-31,USD,2169124080.27,1932080604.48,1270026163.47,899097916.80,237043475.79,102890908.35,0,0,156328446.54,-259215.14,653143220.67,None,237043475.79,8911220.34,-57679514.14,None,None,None,0,0,0,53141680.21,-80715029.25,0,103186766.33,102890908.35,None
2017-09-30,USD,1740162152.73,1421071664.64,955263669.03,784898483.70,319090488.08,204637996.01,0,0,286897254.69,70078543.97,457654948.53,None,319090488.08,8153047.09,-38670487.30,None,None,None,0,0,0,77884314.85,-32193233.39,0,209012939.84,204637996.01,None
2017-06-30,USD,1652702201.10,-1359171939.93,-911111231.10,-741590970,-293530261.17,-179108904.41,0,0,-257382243.81,-67795764.74,-441099084.82,None,-293530261.17,-6961624.02,37238633.17,None,None,None,0,0,0,-74303906.63,36148017.36,0,-183078337.18,-179108904.41,None
2017-03-31,USD,501388019000,425481168000,283093378000,218294641000,75906851000,42897936000,0,0,62477551000,22398961000,140151777000,None,75906851000,2236013000,-12296302000,None,None,None,0,0,0,18751881000,-13429300000,0,43725670000,42897936000,None
2016-12-31,USD,519110939000,447460743000,297833427000,221277512000,71650196000,36378735000,None,None,53727994000,21564445000,148623675000,None,71650196000,1003641000,-11467168000,None,None,None,None,None,None,16965839000,-17922202000,None,36762155000,36378735000,None
2016-09-30,USD,422830450000,386133574000,249557313000,173273137000,36696876000,15788351000,None,None,None,None,None,None,36696876000,None,-11629221000,None,None,None,None,None,None,6653756000,None,None,None,None,None
2016-06-30,USD,376405000000,345341000000,221329000000,155076000000,31064000000,5347000000,None,None,None,None,None,None,31064000000,None,-11459000000,None,None,None,None,None,None,7456000000,None,None,None,None,None
