fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,None,534353,None,None,None,None,None,149107,None,None,-4273462,None,None,None,None,None,None,3356689,0,None,None,None
2020-03-31,USD,None,-1862039,None,None,None,9877988,None,-1115329,-3385062,2090489,-7739656,None,3877,None,9877990,None,None,-1381103,0,None,None,None
2019-12-31,USD,0,4008019,None,None,None,2776067,None,345741,-7878071,-536976,-3464299,None,4313,None,12647950,None,None,55699,0,None,None,None
2019-09-30,USD,None,-2636340,None,None,None,8398058,None,688705,-2565353,3514640,-4910449,None,4626,None,9871890,None,None,-402087,0,None,None,None
2019-06-30,USD,None,695045,None,None,None,1316085,None,140585,-4117084,-3539452,-4772509,None,4700,None,1473830,None,None,-1495755,0,None,None,None
2019-03-31,USD,None,313553,None,None,None,157740,None,-464696,-2545280,325510,228940,None,5570,None,157740,None,None,2919804,0,None,None,None
2018-12-31,USD,None,-38941,379075,379075,None,-40340,None,-245586,-3512754,-4247613,-4567329,None,7618,None,306230,None,None,-777666,0,None,None,None
2018-09-30,USD,None,-2877833,379075,379075,None,346572,None,62624,-3593255,-4996597,-5331192,None,9508,None,346570,None,None,1067764,0,None,None,None
2018-06-30,USD,None,-943640,-379075,-379075,None,346572,None,149977,-8022196,-8711499,-8283776,None,9378,None,None,None,None,522705,0,None,None,None
2018-03-31,USD,None,170554,-379075,-379075,None,346572,None,-731877,-1338575,-4325230,-4397943,None,9344,None,None,None,None,-2507389,0,None,None,None
2017-12-31,USD,10021963,12000,9985000,-379075,None,15672000,-1728119,508824,-12118155,7132731,-8517343,None,9503,None,17400000,None,None,1694409,37000,None,None,None
2017-09-30,USD,None,-1468059,9985000,-379075,None,15671881,-1728119,460573,-10376575,-9144942,-9214186,None,10344,None,17400000,None,None,2159531,37000,None,None,None
2017-06-30,USD,10021963,92000,9985000,None,None,15671881,-1728119,-343699,-320016,5199824,-4698715,None,11714,None,17400000,None,None,-6123143,37000,None,None,None
2017-03-31,USD,10021963,-1984223,-5620,None,None,15671881,-1728119,173353,-12584512,-9179754,-9168465,None,10839,None,17400000,None,None,5216078,6000,None,None,None
2016-12-31,USD,-10021963,-671784,-10066632,10000,None,15671881,-1728119,-778585,-18140997,-34821183,-24624535,None,39944,None,17400000,None,None,-5073113,55000,None,None,None
2016-09-30,USD,None,None,1000000,None,None,None,1000000,None,0,-4000000,-5000000,None,None,None,None,None,None,None,48000,None,None,None
2016-06-30,USD,None,None,-46000000,None,None,None,-46000000,None,-6000000,-52000000,-6000000,None,None,None,None,None,None,None,48000,None,None,None
2016-03-31,USD,None,-3873470,0,0,None,0,-46000000,-524087,0,-7490484,0,None,0,0,0,0,0,-66229,42000,None,None,None
2015-12-31,USD,-10021963,3755000,1392000,-8219,-529935,69045000,-5425646,917257,6472000,65592527,-4965583,None,10162,0,0,0,0,32638053,11000,None,None,None
2015-09-30,USD,None,7028294,0,0,2522591,0,None,1475903,0,78943420,0,None,0,0,0,0,0,41586789,0,None,None,None
2015-06-30,USD,None,-106589,0,0,2522591,0,None,10045,0,-1499194,0,None,0,0,0,0,0,857000,0,None,None,None
