fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-8316655,None
2020-03-31,USD,0,4926974,None,None,-4923097,-3385062,2732165,None,-3385062,None,2194809,None,-4926974,None,None,None,1010,1010,None,None,None,None,1540902,None,-3385062,-3385062,None
2019-12-31,USD,0,7826315,None,None,-7822002,-7878071,5701382,None,-7878071,None,2124933,None,-7826315,None,None,None,1739,1739,None,None,None,None,-53495,None,-7878071,-7878071,None
2019-09-30,USD,0,3117320,None,None,-3112694,-2565353,1763057,None,-2565353,None,1354263,None,-3117320,None,None,None,2057,2057,None,None,None,None,549910,None,-2565353,-2565353,None
2019-06-30,USD,0,6031447,None,None,-6026747,-4117084,3593341,None,-4117084,None,2438106,None,-6031447,None,None,None,449,449,None,None,None,None,1913914,None,-4117084,-4117084,None
2019-03-31,USD,0,-11962,None,None,17528,-2545280,2318360,None,-2545280,None,2306400,None,11960,None,None,None,-2553120,1286,None,None,None,None,-2558531,None,-2545283,-2545280,None
2018-12-31,USD,None,4721325,None,None,-4721325,-3512754,2362358,None,-3512754,None,2358967,None,-4721325,None,None,None,None,None,None,None,None,None,1208571,None,-3512754,-3512754,None
2018-09-30,USD,0,5685943,0,0,-5685943,-3593255,3303790,None,-3593255,None,2382153,None,-5685943,None,None,None,None,None,None,None,None,0,2092688,None,-3593255,-3593255,None
2018-06-30,USD,0,7978905,0,0,-7978905,-8022196,5120840,None,-8022196,None,2858065,None,-7978905,None,None,None,None,None,None,None,None,0,-43291,None,-8022196,-8022196,None
2018-03-31,USD,0,4305361,0,0,-4305361,-1338575,1008388,None,-1338575,None,3296973,None,-4305361,None,None,None,None,None,None,None,None,0,2966786,None,-1338575,-1338575,None
2017-12-31,USD,0,10910666,0,0,-10910666,-12118155,7118000,0,-12118155,0,10902000,None,-10910666,0,0,None,None,None,0,0,0,0,-1207489,0,-12118155,-12118155,None
2017-09-30,USD,0,28843784,0,0,-28843784,-84603583,6382000,0,-84603583,0,8530000,None,-28843784,0,0,None,None,None,0,0,0,0,-55759799,0,-84603583,-84603583,None
2017-06-30,USD,0,-25783619,0,0,25783619,50018032,3782000,0,50018032,0,7338000,None,25783619,0,0,None,None,None,0,0,0,0,24234413,0,50018032,50018032,None
2017-03-31,USD,0,8283189,0,0,-8283189,-12584512,6003000,0,-12584512,0,8272000,None,-8283189,0,0,None,None,None,0,0,0,0,-4301323,0,-12584512,-12584512,None
2016-12-31,USD,0,44246558,0,0,-35290406,-36140997,6569000,0,-18140997,0,9841000,None,-44246558,0,0,None,None,None,0,0,0,1000000,9105561,0,-9184845,-9184845,None
2016-09-30,USD,0,-25000000,0,0,7087696,24000000,3793000,0,0,0,6011000,None,25000000,0,0,None,None,None,0,0,0,-1000000,0,0,-17912304,-17912304,None
2016-06-30,USD,0,8000000,0,0,3941536,-6000000,5444000,0,0,0,7512000,None,-8000000,0,0,None,None,None,0,0,0,0,0,0,11941536,11941536,None
2016-03-31,USD,0,0,0,0,-2985384,0,1499000,0,0,0,3842000,None,0,0,0,None,None,None,0,0,0,0,0,0,-2985384,-2985384,None
2015-12-31,USD,0,11301290,0,0,1340186,6472000,1930000,0,6472000,0,4285000,None,-11301290,0,-3053948,None,None,None,0,0,0,0,-34016242,0,-4389352,6472000,None
2015-09-30,USD,0,0,0,0,-9785706,0,1313000,0,0,0,4042000,None,0,0,0,None,None,None,0,0,0,0,0,0,-38636966,-38636966,None
2015-06-30,USD,0,0,0,0,-2855770,0,1002000,0,0,0,1311000,None,0,0,0,None,None,None,0,0,0,0,0,0,-2291214,-2291214,None
