fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,22993720000,None,None,None,17123919000,5869801000,817981000,None,1138000,3089082000,1987165000,None,21962930000,941990000,1666893000,1169184000,None,-2351000,1790935000,941990000,None,5869701000,None,None,14639045000,None,497709000,None,None,1138000,100000,3089082000,None,None,20260795000,None,22051730000,None,14639045000,None,15457026000,None,None,None,2781832000,22993720000,941990000,None,None
2020-03-31,USD,22682345000,None,None,None,16945976000,5736369000,782368000,None,1136000,2962368000,2040104000,None,21695464000,753381000,1748987000,1257736000,None,-2875000,1576508000,753381000,None,5736269000,None,None,14414621000,None,491251000,None,None,1136000,100000,2962368000,None,None,20352456000,None,21928964000,None,14414621000,None,15196989000,None,None,None,2775640000,22682345000,753381000,None,114000000
2019-12-31,USD,21709155000,None,None,270173000,16085611000,5623544000,749495000,None,1134000,2846106000,1990248000,None,21065094000,338061000,1757250000,1240753000,None,-1397000,1564188000,338061000,56400000,5623444000,None,None,13578866000,None,516497000,None,None,1134000,100000,2846106000,None,None,19806906000,None,21371094000,None,13578866000,None,14328361000,None,None,None,2777601000,21709155000,338061000,None,113000000
2019-09-30,USD,21609701000,None,None,44651000,16147528000,5462173000,749504000,None,1127000,2702018000,1975212000,None,21221978000,336423000,1646152000,1225708000,None,None,1600959000,336423000,51300000,5462073000,None,None,13751872000,None,420444000,None,None,1127000,100000,2702018000,None,None,19672319000,None,21273278000,None,13751872000,None,14501376000,None,None,None,2758928000,21609701000,336423000,None,113000000
2019-06-30,USD,20484348000,None,None,24044000,15184464000,5299884000,711788000,None,1117000,2564719000,1871684000,None,20145846000,288102000,1613432000,1159896000,None,None,1694765000,288102000,50400000,5299784000,None,None,12859244000,None,453536000,None,None,1117000,100000,2564719000,None,None,18501481000,None,20196246000,None,12859244000,None,13571032000,None,None,None,2733948000,20484348000,288102000,None,113000000
2019-03-31,USD,19178935000,None,None,12527000,14005118000,5173817000,680567000,None,1111000,2455201000,1768621000,None,12527000,298242000,1454880000,1088054000,2907000,None,1871088000,298242000,49500000,5173717000,None,None,11869671000,None,366826000,None,None,1111000,100000,2455201000,None,None,17009605000,None,18880693000,None,11869671000,None,12550238000,None,None,None,2717405000,19178935000,298242000,None,112000000
2018-12-31,USD,18481808000,None,None,22871000,13674908000,4808010000,643767000,None,1110000,2331552000,1753871000,None,18153410000,322998000,1492236000,1110104000,None,None,17516370000,322998000,5400000,4806900000,None,None,11538905000,None,382132000,None,None,1110000,None,2331552000,None,None,642440000,None,18158810000,None,11538905000,None,12182672000,None,None,None,2474238000,18481808000,322998000,None,112000000
2018-09-30,USD,17567303000,0,None,20417000,13088385000,4479959000,611748000,None,1041000,2207575000,1683808000,0,17275084000,248919000,1382300000,1072060000,None,None,16722151000,248919000,43300000,4478918000,20417000,None,11094337000,0,310240000,0,0,1041000,0,2207575000,0,None,596233000,None,17318384000,None,11094337000,None,11706085000,None,None,None,2270302000,17567303000,248919000,None,113000000
2018-06-30,USD,17255447000,0,None,21528000,12917605000,4338883000,580273000,None,1041000,2071408000,1625733000,0,16937189000,281058000,1374886000,1045460000,10962446000,None,16419651000,281058000,37200000,4337842000,21528000,None,10962446000,0,329426000,0,0,1041000,0,2071408000,0,None,554738000,None,16974389000,None,10962446000,None,11542719000,None,None,None,2265393000,17255447000,281058000,None,112000000
2018-03-31,USD,15944846000,0,None,19133000,11718223000,4227663000,548435000,1001167000,1040000,1966596000,1549602000,0,15636922000,271624000,1282289000,1001167000,9887499000,None,15156634000,271624000,36300000,4226623000,19133000,None,9887499000,0,281122000,0,0,1040000,0,1966596000,0,None,516588000,None,15673222000,None,9887499000,None,10435934000,None,None,None,2258987000,15944846000,271624000,None,112000000
2017-12-31,USD,15614164000,0,None,16078000,11486722000,4128478000,517795000,960960000,1036000,1866342000,1270142000,0,2025632000,308282000,1270142000,960960000,9698785000,None,14843026000,308282000,32300000,4127442000,16078000,None,9698785000,0,309182000,0,0,1036000,0,1866342000,0,None,462856000,None,15305882000,None,9698785000,None,10216580000,None,None,None,2260064000,15614164000,308282000,None,112000000
2017-09-30,USD,14901647000,0,None,19411000,11246064000,3656615000,823540000,952805000,1032000,1405601000,1185204000,0,1983280000,245430000,1185204000,952805000,9237320000,None,14224687000,245430000,None,3655583000,19411000,None,9237320000,0,232399000,0,0,1032000,0,1405601000,0,None,431530000,None,14656217000,None,9237320000,None,10060860000,None,None,None,2248950000,14901647000,245430000,None,112000000
2017-06-30,USD,14861397000,0,None,22239000,11303193000,3559216000,768980000,956548000,1012000,1314154000,1230901000,0,1856783000,261949000,1230901000,956548000,9303312000,None,14183114000,261949000,None,3558204000,22239000,None,9303312000,0,274353000,0,0,1012000,0,1314154000,0,None,416334000,None,14599448000,None,9303312000,None,10072292000,None,None,None,2243038000,14861397000,261949000,None,112000000
2017-03-31,USD,14477040000,0,None,18330000,11017808000,3460244000,714907000,976838000,1012000,1220970000,1200212000,0,1679902000,174088000,1200212000,976838000,9102689000,None,13954743000,174088000,None,3459232000,18330000,None,9102689000,0,223374000,0,0,1012000,0,1220970000,0,None,348209000,None,14302952000,None,9102689000,None,9817596000,None,None,None,2237250000,14477040000,174088000,None,111000000
2016-12-31,USD,13975616000,0,None,16000000,10593429000,3383197000,667060000,955720000,1010000,1143311000,1212495000,0,1642889000,290802000,1212495000,955720000,8713874000,None,13332601000,290802000,25100000,3382187000,16000000,None,8713874000,0,256775000,0,0,1010000,0,1143311000,0,None,352213000,None,13684814000,None,8713874000,None,9380934000,None,None,None,2237866000,13975616000,290802000,None,111000000
2016-09-30,USD,13680907000,0,None,None,10392618000,3289299000,615012000,987647000,1010000,1054037000,1222874000,0,1561907000,243884000,1222874000,987647000,None,None,13103842000,243884000,None,3288289000,17062000,None,8554732000,0,235227000,0,0,1010000,0,1054037000,0,None,333181000,None,13437023000,None,8554732000,None,9169744000,None,None,None,2233242000,13680907000,243884000,None,111000000
2016-06-30,USD,13340170000,0,None,None,10144641000,3196539000,563817000,963142000,1010000,965902000,1190358000,0,1445122000,197124000,1190358000,963142000,None,None,12830706000,197124000,None,3195529000,24390000,None,8390466000,0,227216000,0,0,1010000,0,965902000,0,None,312340000,None,13143046000,None,8390466000,None,8954283000,None,None,None,2228617000,13340170000,197124000,None,111000000
2016-03-31,USD,12783410000,0,None,None,9679007000,3105413000,513630000,955487000,1010000,879242000,1147876000,0,1364485000,179304000,1147876000,955487000,None,None,12319311000,179304000,None,3104403000,16490000,None,8017501000,0,192389000,0,0,1010000,0,879242000,0,None,284795000,None,12604106000,None,8017501000,None,8531131000,None,None,None,2224151000,12783410000,179304000,None,111000000
2015-12-31,USD,12355098000,0,None,16528000,9335186000,3020922000,461967000,944815000,1010000,791526000,1160798000,0,1368420000,173203000,1160798000,944815000,7712421000,None,11884510000,173203000,18600000,3019912000,16528000,None,7712421000,0,215983000,0,0,1010000,0,791526000,0,None,297385000,None,12181895000,None,7712421000,None,8174388000,None,None,None,2227376000,12355098000,173203000,None,111000000
2015-09-30,USD,11911694000,0,None,None,8972246000,2940458000,418592000,None,1010000,715756000,1055414000,0,1362070000,130422000,1055414000,886856000,None,None,11503277000,130422000,None,2939448000,10700000,None,7498240000,0,168558000,0,0,1010000,0,715756000,0,None,277995000,None,11781272000,None,7498240000,None,7916832000,None,None,None,2222682000,11911694000,130422000,None,111000000
2015-06-30,USD,11666206000,0,None,None,8804345000,2862871000,376055000,None,1010000,642817000,1207830000,0,1425290000,171522000,1207830000,845580000,None,None,11094339000,171522000,None,2861861000,8533000,None,7220460000,0,362250000,0,0,1010000,0,642817000,0,None,400345000,None,11494684000,None,7220460000,None,7596515000,None,None,None,2218034000,11666206000,171522000,None,111000000
