fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,521349000,337419000,194020000,521349000,183930000,147625000,None,None,183930000,None,143399000,None,183930000,194020000,112926000,36305000,None,-112926000,None,None,None,36305000,None,None,147625000,143781000,3844000
2020-03-31,USD,511387000,339715000,188895000,511387000,171672000,137151000,None,None,171672000,None,150820000,None,171672000,188895000,118069000,34521000,-118069000,-118069000,None,None,None,34521000,None,None,137151000,133307000,3844000
2019-12-31,USD,548556000,342138000,187862000,548556000,206418000,164935000,None,None,206418000,None,252036000,None,206418000,187862000,106639000,41483000,-117000000,-117000000,None,None,None,41483000,-117000000,None,164935000,161092000,3843000
2019-09-30,USD,530902000,337115000,183788000,530902000,193787000,155787000,None,None,193787000,None,153327000,None,193787000,183788000,104637000,38000000,-113715000,-113715000,None,None,None,38000000,-113715000,None,155787000,151943000,3844000
2019-06-30,USD,471395000,310859000,171689000,471395000,160536000,128305000,None,None,160536000,None,139170000,None,160536000,171689000,96824000,32231000,-105536000,-105536000,None,None,None,32231000,-105536000,None,128305000,124034000,4271000
2019-03-31,USD,466051000,291107000,159471000,466051000,174944000,138094000,None,None,174944000,None,33876000,None,174944000,159471000,89220000,36850000,-97760000,-97760000,None,97760000,None,36850000,-97760000,None,138094000,138094000,None
2018-12-31,USD,449981000,277953000,153548000,449981000,172028000,138399000,0,0,172028000,0,30488000,None,172028000,153548000,-93917000,None,None,None,0,93917000,0,33629000,-93917000,0,138399000,138399000,None
2018-09-30,USD,450698000,271316000,149703000,450698000,179382000,146574000,0,0,179382000,0,31225000,None,179382000,149703000,-90388000,None,None,None,0,90388000,0,32808000,-90388000,0,146574000,146574000,None
2018-06-30,USD,397814000,250405000,142600000,397814000,147409000,115211000,0,0,147409000,0,26343000,None,147409000,142600000,-81462000,None,None,None,0,81462000,0,32198000,-81462000,0,115211000,115211000,None
2018-03-31,USD,381209000,239890000,136134000,381209000,141319000,110651000,0,0,141319000,0,26791000,None,141319000,136134000,-76965000,None,None,None,0,76965000,0,30668000,-76965000,0,110651000,110651000,None
2017-12-31,USD,378481000,1401128000,31015000,1008028000,-5812470000,471102000,0,0,165664000,0,72061000,None,217066000,-4247981000,83823000,None,None,None,0,0,0,-201553000,-287371000,0,-2050029000,471102000,None
2017-09-30,USD,376765000,222646000,24620000,376765000,154119000,99188000,0,0,154119000,0,24620000,None,154119000,127553000,82160000,None,None,None,0,70473000,0,54931000,0,0,99188000,99188000,None
2017-06-30,USD,380957000,225088000,29147000,380957000,155869000,100925000,0,0,155869000,0,29147000,None,155869000,126490000,79980000,None,None,None,0,69451000,0,54944000,0,0,100925000,100925000,None
2017-03-31,USD,360187000,226309000,26345000,360187000,133878000,84937000,0,0,133878000,0,26345000,None,133878000,123909000,87457000,None,None,None,0,76055000,0,48941000,0,0,84937000,84937000,None
2016-12-31,USD,353627000,552616000,27663000,966373000,-6511039000,96988000,0,0,149403000,0,63119000,None,207244000,-3650588000,85447000,None,None,None,0,0,0,52415000,-286201000,0,-2978931000,96988000,None
2016-09-30,USD,355101000,210528000,24476000,355101000,144573000,93276000,0,0,144573000,0,24476000,None,144573000,113251000,83417000,None,None,None,0,72801000,0,51297000,0,0,93276000,93276000,None
2016-06-30,USD,350139000,207868000,25154000,350139000,142271000,91803000,0,0,142271000,0,25154000,None,142271000,112136000,80629000,None,None,None,0,70578000,0,50468000,0,0,91803000,91803000,None
2016-03-31,USD,343328000,199337000,22641000,343328000,143991000,92858000,0,0,143991000,0,22641000,None,143991000,108575000,77591000,None,None,None,0,68121000,0,51133000,0,0,92858000,92858000,None
2015-12-31,USD,314263000,491743000,25986000,825080000,731097000,80899000,0,0,124703000,0,57638000,None,181977000,428267000,79327000,None,None,None,0,0,0,43804000,-338144000,0,253391000,80899000,None
2015-09-30,USD,313126000,193539000,23446000,313126000,119587000,77042000,0,0,119587000,0,23971000,None,119587000,102046000,77319000,None,None,None,0,67522000,0,42545000,0,0,77042000,77042000,None
2015-06-30,USD,304702000,186538000,22307000,304702000,118164000,76118000,0,0,118164000,0,22307000,None,118164000,98402000,75827000,None,None,None,0,65829000,0,42046000,0,0,76118000,76118000,None
