fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,10170253000,342839000,None,2638138000,5964092000,4024472000,406255000,21808000,1064000,3054434000,1294849000,1571280000,77013000,736696000,1420803000,406201000,406201000,-431131000,5136357000,2292409000,614145000,4024472000,None,807806000,3132191000,851256000,992794000,None,None,1064000,None,3054434000,None,None,213223000,None,5136357000,21808000,3132191000,1004843000,4543289000,None,None,None,1400105000,10170253000,736696000,-2002612000,106337000
2020-03-31,USD,9847638000,344561000,None,2603271000,5806113000,3878004000,402681000,23826000,1063000,3009749000,1388729000,1559055000,77375000,553228000,1192926000,35615000,35615000,-526489000,5025969000,2155181000,543670000,3878004000,None,811670000,3105225000,853500000,1133485000,None,None,1063000,None,3009749000,None,None,219202000,None,5025969000,23826000,3105225000,1105281000,4613187000,None,None,None,1393681000,9847638000,553228000,-1947848000,106319000
2019-12-31,USD,9860863000,354622000,None,6930000,5767283000,3932250000,None,331911000,1061000,2943478000,1380680000,1578785000,79197000,613110000,1408996000,187336000,187336000,-395735000,5043337000,2225109000,579813000,1998843000,None,612651000,2862921000,768984000,574138000,None,None,None,None,None,None,None,63922000,None,7635754000,137823000,2862921000,166577000,4358287000,None,None,None,1383446000,None,613110000,None,106000000
2019-09-30,USD,8141603000,361058000,None,125902000,4133266000,3836559000,393120000,24606000,1060000,2892057000,1213449000,1534241000,62636000,317823000,1421243000,539960000,539960000,-435977000,3662259000,1969752000,551657000,1941260000,None,637037000,1381984000,802434000,527052000,None,None,1060000,None,2892057000,None,None,200858000,None,6171851000,24606000,1381984000,618822000,2712023000,None,None,None,1379419000,8141603000,317823000,-1882086000,106031000
2019-06-30,USD,8094414000,373082000,None,94417000,4120011000,3800801000,387035000,19441000,1059000,2775940000,1214823000,1566464000,61720000,398183000,1399981000,490691000,490691000,-349411000,3390625000,2036637000,541014000,3800801000,None,624808000,1398419000,814022000,558839000,None,None,1059000,None,2775940000,None,None,186592000,None,6057777000,19441000,1398419000,609209000,2720030000,None,None,None,1373213000,8094414000,398183000,-1858369000,105971000
2019-03-31,USD,7871062000,378501000,None,2607771000,4007023000,3672274000,390977000,21299000,1059000,2660684000,1224870000,1561092000,80445000,465274000,1278191000,425684000,425684000,-357538000,3170190000,1987176000,563030000,3672274000,None,871634000,1393904000,756193000,831208000,None,None,1059000,None,2660684000,None,None,211073000,None,3170190000,21299000,1393904000,943951000,2728832000,None,None,None,1368069000,7871062000,465274000,-1813195000,105950000
2018-12-31,USD,7581674000,386143000,None,2566824000,3822566000,3585321000,382982000,96040000,1056000,2566050000,1241477000,1567169000,80135000,555320000,1183173000,307294000,307294000,-350682000,3021084000,1998421000,528722000,3585321000,None,737906000,1397916000,700540000,875879000,None,None,1056000,None,2566050000,None,None,None,None,3021084000,None,1397916000,858495000,2639393000,None,None,None,1368897000,7581674000,555320000,-1777979000,105616000
2018-09-30,USD,7487195000,398001000,None,2622420000,3800918000,3528844000,378484000,108221000,1062000,2478711000,1262304000,1590906000,78054000,641226000,1127009000,286188000,286188000,-314191000,2825365000,2059577000,535292000,3528844000,0,670803000,1411605000,727381000,840821000,3686277000,1363262000,1062000,0,2478711000,0,None,None,None,2825365000,None,1411605000,883820000,2673909000,None,None,None,1363262000,7487195000,641226000,-1746414000,106187000
2018-06-30,USD,7538363000,405507000,None,2604446000,3701083000,3693576000,366212000,99983000,1084000,2384645000,1252698000,1585500000,75108000,908144000,1041661000,208681000,208681000,-301679000,2669660000,2283070000,519518000,3693576000,0,690591000,1406724000,665522000,832980000,3837280000,1609526000,1084000,0,2384645000,0,None,None,None,2669660000,None,1406724000,886486000,2659422000,None,None,None,1609526000,7538363000,908144000,-1705675000,108441000
2018-03-31,USD,7556340000,429614000,None,2747639000,3612910000,3800310000,369115000,2173000,1107000,2118621000,1307198000,1643746000,230362000,692188000,868860000,39216000,39216000,-174739000,2569206000,2158725000,524687000,3800310000,0,728997000,1436852000,666567000,827471000,3943430000,1855321000,1107000,0,2118621000,0,None,151743000,None,2720949000,None,1436852000,938083000,2744050000,None,None,None,1855321000,7556340000,692188000,-1678139000,110756000
