fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-1223000,0,-205685000,None,364536000,324029000,-194000,-174309000,103758000,171207000,52863000,-174309000,57841000,-40927000,614000,None,None,65573000,204462000,None,None,171207000
2020-03-31,USD,2233000,0,-234868000,-22572000,97914000,51016000,-3825000,17730000,123635000,-28798000,155054000,17730000,53694000,-53268000,10195000,None,None,-40005000,214529000,None,None,-28798000
2019-12-31,USD,-1064133000,-12234000,-1064133000,-811829000,1064045000,987442000,-37463000,252006000,90391000,295287000,373736000,None,56766000,-38883000,4814000,-46304000,-18220000,51331000,243340000,None,None,None
2019-09-30,USD,-192581000,0,-192581000,8964000,49131000,-6722000,-18250000,-66349000,155070000,-80360000,146350000,-66349000,54487000,-39008000,0,-46304000,-18220000,3142000,192830000,None,-27407000,-80360000
2019-06-30,USD,-199716000,0,-199716000,8715000,64829000,-13290000,-760000,-100299000,154198000,-67091000,144372000,-100299000,52948000,-38926000,529000,-46304000,-18220000,16753000,199494000,None,1543000,-67091000
2019-03-31,USD,-1419000,0,-207195000,10356000,118223000,75257000,-10255000,-122939000,151526000,-77022000,54916000,-122939000,49283000,-35387000,2676000,-46304000,-18220000,-22954000,216132000,None,-13024000,-90046000
2018-12-31,USD,237000,73730000,-227989000,90000,20938000,-13598000,-193000,127633000,146049000,-72363000,169224000,38369000,50187000,-35674000,1331000,-124067000,-97448000,82404000,228316000,-97448000,-13543000,-85906000
2018-09-30,USD,-3689000,0,-201411000,-6992000,77328000,-216061000,-587000,-40624000,143479000,-264388000,153084000,-40624000,49707000,-43816000,-248986000,-124067000,-97448000,522000,190730000,None,-2530000,-266918000
2018-06-30,USD,-1693000,0,258245000,409068000,169326000,-118585000,-1451000,3861000,310686000,241963000,102303000,3861000,50474000,-37102000,-249358000,-124067000,-97448000,-262718000,149130000,None,-26007000,215956000
2018-03-31,USD,-725000,0,-132540000,0,-381159000,-438282000,-15009000,-95050000,138925000,-449268000,121554000,-95050000,50330000,-42760000,646000,-124067000,-97448000,27349000,131815000,None,4153000,-445115000
2017-12-31,USD,-4290000,53421000,-133435000,1039000,34548000,-8601000,-59000,-269594000,-207071000,87099000,229135000,99899000,52841000,-44317000,1227000,-101545000,-74545000,406135000,130184000,-74545000,4865000,91964000
2017-09-30,USD,242000,0,-95393000,-5881000,45317000,3539000,-148000,-45775000,130193000,37445000,129299000,-63411000,49895000,-45304000,3674000,0,0,12622000,89754000,None,949000,38394000
2017-06-30,USD,-284000,0,-48832000,-4926000,-7498000,-60007000,-314000,-289813000,113689000,-245879000,-137040000,-304861000,49122000,-53362000,1167000,0,0,5010000,43622000,None,-1712000,-247591000
2017-03-31,USD,492000,-215960000,-80143000,-26492000,-731784000,-1021799000,-7855000,-63325000,62657000,-1019357000,82585000,-91929000,45070000,-34330000,-247830000,0,0,66787000,54143000,None,4137000,-1015220000
2016-12-31,USD,-517000,43953000,2832356000,2888226000,-1024267000,-1067663000,256000,212084000,610278000,2045661000,280968000,276458000,49670000,-46274000,2622000,25974000,-42816000,-682549000,55353000,-42816000,-9504000,2036157000
2016-09-30,USD,-147000,254229000,-41939000,228611000,-77459000,-115405000,1305000,28332000,137697000,42590000,199934000,12969000,47994000,-41091000,1840000,0,0,1274000,41792000,None,-2652000,39938000
2016-06-30,USD,-222000,254229000,-38177000,3434000,-51531000,-97559000,335000,-118483000,-302754000,-55943000,79793000,-149344000,67953000,-51302000,4939000,0,0,463938000,41389000,None,-2778000,-58721000
2016-03-31,USD,1191000,254229000,168248000,225177000,-262766000,-297276000,-1969000,10467000,235548000,43680000,172708000,10467000,60552000,-32541000,0,0,0,-133859000,58120000,None,-5032000,38648000
2015-12-31,USD,998000,23745000,-60598000,-4083546000,-1658453000,-10328000,-5369000,-84140000,182677000,-27140000,43786000,-98963000,59704000,-229358000,-4609000,27649000,-8788000,-142238000,392217000,-8788000,6384000,-20756000
2015-09-30,USD,99433000,None,51120000,63683000,645000,-201665000,None,None,70872000,33175000,183720000,52951000,68903000,32532000,0,0,0,-9006000,52845000,None,-5923000,27252000
2015-06-30,USD,124000,None,-58401000,57550000,5385000,-83685000,36000,None,59366000,-54694000,87392000,-73813000,67483000,32508000,252000,0,0,34356000,54982000,None,511000,-54183000
