fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,572030000,None,None,None,216699000,355331000,None,None,8000,-305165000,110814000,None,2558000,92501000,65856000,None,None,1846000,59384000,510088000,None,355331000,411139000,None,None,None,4760000,None,None,None,None,None,None,None,2558000,None,61942000,46708000,None,493000,150843000,None,None,None,None,None,None,None,None
2020-03-31,USD,618928000,None,None,None,227194000,391734000,None,None,8000,-259839000,114634000,None,1875000,160917000,71775000,None,None,2782000,60849000,556204000,None,391734000,387618000,None,None,None,4039000,None,None,None,None,None,None,None,1875000,None,62724000,47408000,None,493000,155419000,None,None,None,648783000,None,548535000,None,75000000
2019-12-31,USD,421913000,None,None,None,227170000,194743000,600000,None,7000,-219820000,123729000,None,2148000,89641000,61970000,None,None,142000,62328000,357437000,None,194743000,263432000,None,None,None,278000,None,None,None,None,None,None,None,2148000,None,64476000,48036000,None,493000,165200000,None,None,None,414414000,None,353073000,None,62000000
2019-09-30,USD,449730000,None,None,None,231143000,218587000,None,33202000,7000,-189293000,130284000,None,1621000,86974000,58718000,None,None,226000,62626000,385483000,None,218587000,294472000,None,None,None,258000,None,None,None,None,None,None,None,1621000,None,64247000,48116000,None,409000,172425000,None,None,None,407647000,None,381446000,None,68000000
2019-06-30,USD,477251000,None,None,None,231535000,245716000,None,43720000,7000,-157555000,121636000,None,1582000,69208000,67102000,None,None,441000,61072000,414597000,None,245716000,341725000,None,None,None,540000,None,None,None,None,None,None,None,1582000,None,62654000,47930000,None,409000,164433000,None,None,None,402823000,None,410933000,None,67000000
2019-03-31,USD,496044000,None,None,None,229858000,266186000,None,39385000,7000,-132995000,130585000,None,1532000,60954000,55834000,4385000,4385000,108000,52398000,442114000,None,266186000,375641000,None,43439000,None,1200000,None,None,None,None,None,None,None,1532000,None,53930000,47824000,None,96000,174024000,None,None,None,399066000,None,436595000,None,44000000
2018-12-31,USD,308359000,None,None,None,195237000,-97398000,2700000,36005000,1000,-114435000,147289000,None,4246000,65470000,47948000,None,None,-42000,10937000,293176000,None,-97398000,224938000,None,None,None,126000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,17078000,None,290408000,None,12000000
2018-09-30,USD,318699000,None,None,3923000,191312000,-82783000,1000000,34012000,1000,-97062000,150283000,None,2527000,41939000,41029000,None,None,-140000,3555000,312617000,None,-82783000,266755000,None,None,None,331000,None,None,None,210170000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11000000
2018-06-30,USD,274883000,None,None,None,196712000,-69398000,100000,30552000,1000,-81745000,159823000,None,1617000,48910000,36889000,None,None,-92000,3246000,270020000,None,-69398000,219189000,None,None,None,105000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11000000
2018-03-31,USD,274883000,None,None,None,196712000,-52033000,100000,30552000,1000,-81745000,159823000,None,1617000,48910000,36889000,None,None,-92000,3246000,270020000,None,-52033000,219189000,None,None,None,105000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11000000
2017-12-31,USD,236060000,None,None,285000,210608000,25452000,None,26263000,1000,-62187000,183205000,None,252000,32451000,27403000,None,None,None,2834000,232974000,None,-52033000,None,200238000,None,None,1140000,None,None,None,77485000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2017-09-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2017-06-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2017-03-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2016-12-31,USD,54111000,None,None,135000,1533000,52578000,None,358000,None,None,23000,None,384000,50838000,1510000,None,None,None,2536000,None,None,None,None,None,None,None,1152000,None,None,None,77485000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2016-09-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2016-06-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2016-03-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
