fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-24744000,-1874000,-24744000,None,None,2270000,None,-7448000,-45326000,-68416000,-45942000,None,1768000,None,None,None,None,6938000,297000,None,None,None
2020-03-31,USD,-124872000,-4036000,-124872000,-121306000,None,228461000,None,3588000,-40019000,71276000,-32313000,None,1743000,None,228461000,None,None,6411000,3566000,None,None,None
2019-12-31,USD,30057000,-5981000,30057000,-33609000,None,1437000,-92000,-60000,-30527000,2667000,-28827000,None,3177000,None,172445000,None,None,4564000,1573000,None,None,None
2019-09-30,USD,45909000,-2978000,45909000,-65239000,None,720000,-92000,1641000,-31738000,17766000,-28863000,None,1278000,None,788000,None,0,2934000,2299000,None,None,None
2019-06-30,USD,26422000,-7186000,26422000,-113447000,None,-116000,-92000,9518000,-24560000,8254000,-18052000,None,821000,None,170196000,None,0,3355000,9363000,None,None,None
2019-03-31,USD,-151262000,-4922000,-151262000,-149232000,None,170312000,-92000,-3074000,-18560000,-4516000,-23566000,None,298000,None,170312000,None,0,1924000,2030000,None,None,None
2018-12-31,USD,42882000,-9350000,42465000,-222235000,None,-1280000,-1626000,7038000,-17373000,23531000,-17654000,None,276000,None,133050000,None,None,1755000,417000,None,None,None
2018-09-30,USD,-46789000,-6277000,-46946000,None,None,62334000,-278000,-2199000,-15317000,-6971000,-22359000,None,279000,None,None,None,238000,1155000,157000,None,None,None
2018-06-30,USD,-109164000,93655000,-109819000,None,None,35046000,-278000,-1199000,-9779000,8965500,83738500,None,232000,None,None,None,119000,710500,655000,None,None,None
2018-03-31,USD,-178902000,194466000,-179515000,None,None,-62000,-62000,-2633000,-8437000,4948000,184525000,None,212000,None,None,None,69000,848000,613000,None,None,None
2017-12-31,USD,-109164000,6675000,-110000,None,None,-15000,-15000,4649000,-9778000,-2584000,-2459000,None,180000,None,None,None,-85000,1096000,801000,None,None,None
2017-09-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None
2017-06-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None
2017-03-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None
2016-12-31,USD,None,354000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2250000,None,None,None
2016-09-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None
2016-06-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None
2016-03-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None
