fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,2106200000,67900000,None,None,995400000,1104600000,None,None,1803100000,-643400000,101200000,10500000,78100000,96400000,105800000,None,None,-55100000,119800000,130600000,1678600000,1100300000,None,14000000,768600000,20200000,105800000,None,None,1803100000,None,-643400000,None,None,166700000,None,1975600000,19800000,768600000,121000000,889600000,None,6200000,None,None,2106200000,96400000,None,72300000
2020-03-31,USD,2174600000,71200000,None,None,1057600000,1107800000,None,None,1801600000,-638700000,101700000,15400000,88000000,137700000,115200000,None,None,-55100000,122400000,173400000,1690300000,1098600000,None,15000000,819600000,20700000,115200000,None,None,1801600000,None,-638700000,None,None,173100000,None,2001200000,21100000,819600000,122800000,942400000,None,6200000,None,None,2174600000,137700000,None,72300000
2019-12-31,USD,2084300000,74900000,None,25300000,949300000,1125100000,None,7900000,1800100000,-626200000,103000000,15400000,79300000,15400000,113300000,28500000,28500000,-48800000,124400000,115500000,1700100000,1116000000,None,79400000,704600000,20700000,113300000,None,None,1800100000,None,-626200000,None,None,128900000,None,1968800000,21600000,704600000,131400000,836000000,None,6300000,None,None,2084300000,15400000,None,72300000
2019-09-30,USD,2121700000,78700000,None,99900000,985400000,1124800000,None,None,1797400000,-617600000,117000000,15400000,94000000,7400000,122700000,None,None,-55000000,131400000,60000000,1715000000,1117300000,None,28700000,732400000,23900000,122700000,None,None,1797400000,None,-617600000,None,None,199900000,None,2061700000,23000000,732400000,130300000,862700000,None,7900000,None,None,2121700000,7400000,None,72300000
2019-06-30,USD,2184500000,82300000,None,91100000,984000000,1187900000,None,None,1795900000,-554000000,119300000,65100000,125400000,5700000,116500000,None,None,-54000000,127300000,62300000,1728700000,1130700000,None,28400000,727700000,28200000,116500000,None,None,1795900000,None,-554000000,None,None,201100000,None,2122200000,28500000,727700000,139800000,867500000,None,7900000,None,None,2184500000,5700000,None,72200000
2019-03-31,USD,2249600000,61000000,None,99500000,1036200000,1200100000,None,None,1794000000,-541300000,118400000,65100000,439300000,190900000,135300000,16300000,11300000,-52600000,128900000,274100000,1567500000,1142900000,None,54200000,775000000,29000000,119000000,None,None,1794000000,None,-541300000,None,None,214000000,None,1975500000,30400000,775000000,125900000,900900000,None,7900000,None,None,2249600000,190900000,None,72100000
2018-12-31,USD,2225200000,68400000,None,25100000,1009000000,1202600000,None,56200000,1793400000,-538900000,140000000,65100000,413700000,11400000,129400000,39000000,39000000,-51900000,1322000000,180700000,171400000,1077000000,None,86600000,739600000,57600000,34200000,None,None,1793400000,None,-538900000,None,None,293500000,None,1920400000,None,739100000,879600000,879600000,None,7900000,None,None,2225200000,11400000,None,72000000
2018-09-30,USD,2276200000,75900000,None,50900000,919600000,1343300000,0,49900000,1792100000,-410500000,57100000,102300000,216100000,7500000,120700000,37100000,37100000,-38300000,1322300000,174600000,379200000,1173100000,0,60300000,741300000,55900000,33700000,1348600000,0,1792100000,0,-410500000,0,None,62400000,None,17600000,None,741300000,57600000,798900000,None,8000000,None,None,2276200000,7500000,None,72000000
2018-06-30,USD,2272200000,77800000,None,58300000,933800000,1325400000,0,45000000,1790800000,-426000000,57300000,102300000,210500000,9500000,120900000,35800000,35800000,-39400000,1321000000,167100000,388300000,1153300000,0,54700000,755000000,44600000,40100000,1330400000,0,1790800000,0,-426000000,0,None,57700000,None,18400000,None,755000000,57900000,812900000,None,8000000,None,None,2272200000,9500000,None,72000000
2018-03-31,USD,2310700000,80500000,None,14700000,977500000,1320600000,3000000,38600000,1789400000,-428400000,57500000,102300000,230200000,26500000,123300000,42800000,42800000,-40400000,1317600000,178500000,397000000,1145800000,None,92100000,795800000,45200000,41900000,None,None,1789400000,None,-428400000,None,None,74200000,None,18600000,None,795800000,58400000,854200000,None,8000000,None,None,2310700000,26500000,None,72000000
