fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,73900000,9000000,55100000,18800000,4100000,-4700000,None,None,-4100000,6200000,9000000,-100000,4200000,None,7800000,0,200000,-7600000,None,None,None,None,-6300000,-600000,-4100000,-4700000,None
2020-03-31,USD,80800000,13300000,57300000,23500000,13400000,6200000,None,None,5800000,-600000,13300000,3200000,10200000,None,7800000,0,600000,-7200000,-200000,None,None,None,4000000,-200000,5800000,6200000,None
2019-12-31,USD,107600000,13900000,80800000,26800000,12100000,5200000,None,None,4800000,-200000,13900000,-800000,12900000,None,7700000,-900000,200000,-7500000,-700000,None,None,-3100000,2500000,-700000,5700000,5000000,None
2019-09-30,USD,89100000,63000000,71700000,17400000,-43200000,-49800000,None,None,-50800000,-1100000,13300000,2400000,-45600000,None,8200000,0,600000,-7600000,-100000,49700000,None,None,-47300000,-100000,-50800000,-49800000,None
2019-06-30,USD,109100000,16200000,87700000,21400000,6200000,-800000,None,None,-1300000,-400000,16200000,1000000,5200000,None,8100000,0,600000,-7500000,100000,None,None,None,1000000,100000,-1300000,-800000,None
2019-03-31,USD,129400000,15500000,100700000,28700000,15900000,9000000,None,None,8400000,-300000,15500000,2700000,13200000,None,9100000,-1100000,-6400000,-7500000,-800000,None,None,1100000,2700000,-800000,9500000,9000000,None
2018-12-31,USD,299600000,-114300000,114900000,184700000,-108500000,-136600000,0,0,-67500000,800000,-34900000,-248700000,140200000,283300000,11400000,None,None,None,-400000,-79400000,0,18100000,-274300000,-400000,-135400000,-136600000,None
2018-09-30,USD,119400000,14600000,87100000,32300000,22100000,14800000,0,0,16800000,800000,14600000,4400000,17700000,0,5300000,None,None,None,0,0,0,1000000,-4700000,-200000,15800000,14800000,None
2018-06-30,USD,112100000,15100000,89100000,23000000,12100000,2500000,0,0,2600000,500000,15100000,4200000,7900000,402500000,9500000,None,None,None,0,0,0,-100000,-8700000,100000,2900000,2500000,None
2018-03-31,USD,113300000,15000000,91300000,22000000,53900000,47300000,None,None,-4800000,100000,15000000,46900000,7000000,402500000,9100000,None,None,None,None,None,None,-2700000,41100000,-100000,47500000,47300000,None
2017-12-31,USD,122700000,41600000,90900000,31800000,-4200000,211600000,0,0,-21800000,500000,15400000,5600000,-9800000,3800000,14100000,None,None,None,0,22400000,0,-224600000,-35900000,-1600000,212100000,212900000,None
2017-09-30,USD,111500000,24500000,75200000,36300000,17200000,6100000,0,0,11100000,500000,20100000,5400000,11800000,4400000,6100000,None,None,None,0,67200000,0,3700000,5500000,-800000,7400000,6600000,None
2017-06-30,USD,98100000,17700000,69600000,28500000,13700000,4300000,0,0,7500000,500000,15500000,2900000,10800000,2200000,6200000,None,None,None,0,-67200000,0,3500000,-6200000,800000,4000000,4300000,None
2017-03-31,USD,93200000,20200000,66300000,26900000,6700000,6300000,0,0,3800000,700000,15400000,None,6700000,4800000,-2900000,None,None,None,0,22400000,0,-800000,0,2400000,4600000,6300000,None
2016-12-31,USD,37300000,-12600000,2400000,34900000,72100000,-100000,0,0,65900000,700000,11700000,24600000,47500000,7600000,6200000,None,None,None,0,-31900000,0,24200000,-41600000,-41100000,41700000,-100000,None
2016-09-30,USD,138700000,34200000,102300000,36400000,2600000,-1900000,0,0,-3800000,500000,14700000,400000,2200000,1900000,6400000,None,None,None,0,17600000,0,-2400000,0,-28700000,-1400000,-1900000,None
2016-06-30,USD,102700000,23700000,81900000,20800000,-10300000,-700000,0,0,-17100000,100000,13200000,-7400000,-2900000,0,6800000,None,None,None,0,10500000,0,-16500000,0,10800000,-600000,-700000,None
2016-03-31,USD,108800000,32100000,81900000,26900000,-2800000,-7500000,0,0,-9700000,500000,16600000,2400000,-5200000,0,6900000,None,None,None,0,15500000,0,-2700000,0,0,-7000000,-7500000,None
2015-12-31,USD,121400000,15900000,126400000,-5000000,-15200000,-12200000,0,0,-21800000,300000,14000000,5700000,-20900000,9500000,6600000,None,None,None,0,11700000,0,-9900000,-29300000,-29700000,-11900000,-12200000,None
2015-09-30,USD,144700000,12600000,118000000,26700000,17300000,6700000,0,0,10800000,300000,12600000,3200000,14100000,0,6500000,None,None,None,0,0,0,3800000,0,0,7000000,6700000,None
2015-06-30,USD,153700000,14100000,118300000,35400000,23700000,9800000,0,0,17100000,300000,14100000,2400000,21300000,0,6600000,None,None,None,0,0,0,7000000,0,0,10100000,9800000,None
