fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-222629,746665,-222629,None,None,27250505,-699409,7529727,-20332761,16367187,-10660689,None,48247,None,None,None,None,1347433,222629,None,None,None
2020-03-31,USD,-138209,-1535807,-138209,None,None,1711985,-104486,1510903,-12337829,-9424389,-10998165,None,41216,None,1816470,None,None,1323352,138209,None,None,None
2019-12-31,USD,-48339,1373067,-48339,None,None,28913,-61906,633717,-10714991,-7484288,-7464862,None,35672,None,45376770,None,None,1207673,48339,None,None,None
2019-09-30,USD,-56435,-442490,-56435,None,None,-72871,-68029,-10007868,-1946390,-11113802,-10984496,None,36027,None,45285950,None,None,1376225,56435,None,None,None
2019-06-30,USD,0,-210321,-56435,None,None,27210995,-68029,2982103,-11135185,20362221,-6848774,None,32924,None,45290790,None,None,1481705,24620,None,None,None
2019-03-31,USD,-24616,-510643,-24620,None,None,18079800,-633387,-1387732,-9147020,8535340,-9519840,None,29260,None,18079800,None,None,1496292,24620,None,None,None
2018-12-31,USD,None,809455,-129249,None,None,-76512,-68029,-852061,-7790243,-6413603,-6207842,None,26377,None,29937510,None,None,1598630,129249,None,None,None
2018-09-30,USD,None,-3461786,-39838,0,None,30014017,None,2748024,-7807365,23062325,-6911854,None,25043,0,0,0,888000,1584230,39838,None,None,None
2018-06-30,USD,None,1670774,-100198,0,None,30014017,None,-357335,-12007233,-9016547,-8916349,None,21586,0,0,0,0,1755859,100198,None,None,None
2018-03-31,USD,None,1250595,-17373,0,None,30014017,None,-1019157,-12306334,-10378679,-10361306,None,26566,0,0,0,0,1687024,17373,None,None,None
2017-12-31,USD,None,1123000,-115356,0,None,57502000,-225439,-1063381,-32012304,31544486,-25842451,None,94211,0,0,0,0,5646852,115000,None,None,None
2017-09-30,USD,None,1349000,-91070,0,None,54505000,-107786,1724861,-23893705,-3927913,-19128694,None,0,0,0,0,0,1722643,91000,None,None,None
2017-06-30,USD,None,737000,-78207,0,None,54613000,-67225,-1700596,-15582500,-7313990,-15321430,None,0,0,0,0,0,1355374,79000,None,None,None
2017-03-31,USD,None,-32256,-68613,0,None,54246000,None,-172008,-7259021,46527398,-7649568,None,0,0,54245579,0,0,1188699,69000,None,None,None
2016-12-31,USD,None,3056000,-109628,0,None,10001000,-225439,-1530350,-23388507,-10547269,-20438166,None,75301,0,10000525,0,0,3368513,110000,None,None,None
2016-09-30,USD,None,1296000,-86726,0,None,5286000,None,-16575,-16491844,-352275,-14931479,None,0,0,5285918,0,0,805404,87000,None,None,None
2016-06-30,USD,None,1121000,-28535,0,None,0,None,-409104,-10510763,-4676645,-9351477,None,0,0,0,0,0,812739,29000,None,None,None
2016-03-31,USD,None,None,-28535,0,None,0,None,None,-4281374,None,-4674832,None,0,0,0,0,0,None,29000,None,None,None
2015-12-31,USD,None,2133000,-216335,0,None,42185000,-225439,880445,-12551350,32182379,-9786799,None,26027,0,42122004,0,0,1600625,216000,None,None,None
2015-09-30,USD,None,772000,-176096,0,None,42245000,None,None,-7112089,None,-6592668,None,0,0,42181305,0,0,None,176000,None,None,None
2015-06-30,USD,None,152000,-46300,0,None,-53631,None,None,-3118345,None,-3487986,None,0,0,0,0,0,None,46000,None,None,None
