fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,0,21841875,None,None,-21793628,-20332761,17349841,None,-20332761,None,4492034,None,-21841875,None,None,None,26601,26601,None,None,None,None,1482513,None,-20332761,-20332761,None
2020-03-31,USD,0,10799362,None,None,-10758146,-12337829,6882793,None,-12337829,None,3916569,None,-10799362,None,None,None,201684,201684,None,None,None,None,-1740151,None,-12337829,-12337829,None
2019-12-31,USD,0,11416164,None,None,-11380492,-10714991,7457953,None,-10714991,None,3958211,None,-11416164,None,None,None,295140,295140,None,None,None,None,406033,None,-10714991,-10714991,None
2019-09-30,USD,0,1926218,None,None,-1890191,-1946390,-1604399,None,-1946390,None,3530617,None,-1926218,None,None,None,436846,436846,None,None,None,None,-457018,None,-1946390,-1946390,None
2019-06-30,USD,0,11511059,None,None,-11478135,-11135185,8223783,None,-11135185,None,3287276,None,-11511059,None,None,None,439201,439201,None,None,None,None,-63327,None,-11135185,-11135185,None
2019-03-31,USD,0,9466369,None,None,-9437113,-9147020,6306712,None,-9147020,None,3159660,None,-9466370,None,None,None,319350,350951,None,None,None,None,-31599,None,-9147017,-9147020,None
2018-12-31,USD,86000,8132206,0,86000,-8046206,-7790243,4876162,0,-7790243,0,3256044,None,-8046206,0,0,None,None,None,0,0,0,0,255963,0,-7790243,-7790243,None
2018-09-30,USD,0,7985682,7961000,0,-7985682,-7807365,4859902,0,-7807365,0,3125780,None,-7985682,0,0,None,None,None,0,0,0,0,178317,0,-7807365,-7807365,None
2018-06-30,USD,0,11969806,11949000,0,-11969806,-12007233,8533466,0,-12007233,0,3436340,None,-11969806,0,0,None,None,None,0,0,0,0,-37427,0,-12007233,-12007233,None
2018-03-31,USD,0,12396136,12369000,0,-12396136,-12306334,8975513,0,-12306334,0,3420623,None,-12396136,0,0,None,None,None,0,0,0,0,89802,0,-12306334,-12306334,None
2017-12-31,USD,0,49370368,8179000,0,-27593305,-23701099,5829000,0,-23701099,0,10016902,None,-24273406,0,0,None,None,None,0,0,0,0,572307,0,-26894473,-26894473,None
2017-09-30,USD,0,-24913013,8525000,0,-18641113,12274,5753000,0,12274,0,0,None,-183949,0,0,None,None,None,0,0,0,0,196223,0,-18571415,-18571415,None
2017-06-30,USD,0,8365654,8342000,0,20670430,-1064458,5733000,0,-1064458,0,0,None,-662406,0,0,None,None,None,0,0,0,0,-402052,0,20712605,20712605,None
2017-03-31,USD,0,0,7683000,0,-7259021,-7259021,5491000,0,-7259021,0,0,None,-7703248,0,0,None,None,None,0,0,0,0,444227,0,-7259021,-7259021,None
2016-12-31,USD,7250,23214878,6664000,7250,-36083545,-17407426,4906000,0,-23416050,0,6430252,None,-17210070,0,0,None,None,None,0,0,0,-27543,-211997,0,-36095593,-36095593,None
2016-09-30,USD,0,0,5971000,0,19161583,248308,4503000,0,0,0,0,None,285977,0,0,None,None,None,0,0,0,56277,3575,0,18936475,18936475,None
2016-06-30,USD,7000,0,6270000,0,-6285666,-1948015,4807000,0,0,0,0,None,-2041666,0,0,None,None,None,0,0,0,-84277,0,0,-6229389,-6229389,None
2016-03-31,USD,7000,0,4235000,0,0,-4281374,2569000,0,0,0,0,None,-4241869,0,0,None,None,None,0,0,0,28000,0,0,0,0,None
2015-12-31,USD,49000,12810059,5452000,278900,-12531159,-5439261,3309000,0,-12523807,0,5364390,None,-5416122,0,0,None,None,None,0,0,0,27000,7352,0,-12551350,-12551350,None
2015-09-30,USD,200000,0,3688000,0,0,-3993744,2272000,0,0,0,0,None,-3995315,0,0,None,None,None,0,0,0,0,0,0,0,0,None
2015-06-30,USD,15000,0,1637000,0,0,-3118345,1011000,0,0,0,0,None,-3119722,0,0,None,None,None,0,0,0,0,0,0,0,0,None
