fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-03-31,CAD,4717656000,500950000,None,18215000,819394000,3918075000,None,None,5675534000,-1717812000,73898000,2415522000,56223000,230208000,206437000,None,53652000,-39647000,1036490000,654249000,35850000,983231000,11834000,70227000,539059000,281761000,44541000,None,None,None,None,None,None,None,4063407000,None,4063407000,None,539059000,None,612957000,None,None,None,None,None,242042000,None,100000000
2020-01-31,CAD,4717656000,500950000,None,None,819394000,3918075000,None,None,5675534000,-1717812000,73898000,2415522000,56223000,230208000,206437000,None,53652000,-39647000,1036490000,654249000,35850000,983231000,11834000,70227000,539059000,281761000,44541000,None,None,None,None,None,None,None,None,None,4063407000,None,None,None,612957000,None,None,None,None,None,None,None,None
2019-12-31,CAD,4671912000,503534000,None,45617000,848112000,3843645000,None,33869000,5456618000,-1580499000,89753000,2409285000,57636000,156334000,213923000,57687000,57687000,-32474000,982099000,629859000,69681000,911008000,26148000,63698000,544436000,251160000,28734000,None,None,None,None,None,None,None,4042053000,None,4042053000,None,544436000,None,634189000,None,None,None,None,None,182482000,None,91000000
2019-10-31,CAD,4671912000,503534000,None,45617000,848112000,3843645000,None,None,5456618000,-1580499000,89753000,2409285000,57636000,156334000,213923000,None,57687000,-32474000,982099000,629859000,69681000,911008000,26148000,63698000,544436000,251160000,28734000,None,None,None,None,None,None,None,None,None,4042053000,None,None,None,634189000,None,None,None,None,None,None,None,None
2019-09-30,CAD,5606799000,682694000,None,50733000,1140389000,4466486000,None,29606000,4759680000,-289145000,154690000,3173006000,75202000,152526000,464565000,274594000,274594000,-4049000,954486000,588315000,114794000,592484000,39404000,75213000,521134000,202495000,55440000,None,None,None,None,None,None,None,5018484000,None,5018484000,None,521134000,12038000,675824000,None,None,None,None,None,191930000,None,87000000
2019-07-31,CAD,5606799000,682694000,None,50733000,1140389000,4466486000,None,None,4759680000,-289145000,154690000,3173006000,75202000,152526000,464565000,None,274594000,-4049000,954486000,588315000,114794000,592484000,39404000,75213000,521134000,202495000,55440000,None,None,None,None,None,None,None,None,None,5018484000,None,None,12038000,675824000,None,None,None,None,None,None,None,None
2019-06-30,CAD,5502830000,688366000,None,51836000,1112783000,4385637000,0,40327000,4673118000,-283638000,281260000,3172550000,93335000,172727000,436365000,0,249667000,-3843000,750084000,664167000,118845000,509238000,143248000,85232000,395158000,165477000,38671000,0,0,0,0,0,0,0,4838663000,0,4838663000,0,395158000,11979000,676418000,0,0,0,0,0,315975000,0,85000000
2019-04-30,CAD,5502830000,688366000,None,51836000,1112783000,4385637000,None,None,4673118000,-283638000,281260000,3172550000,93335000,172727000,436365000,None,249667000,-3843000,750084000,664167000,118845000,509238000,143248000,85232000,395158000,165477000,38671000,None,None,None,None,None,None,None,None,None,4838663000,None,None,11979000,676418000,None,None,None,None,None,None,None,None
2019-03-31,CAD,5549780000,700132000,None,43557000,1162298000,4387482000,0,32388000,4650338000,-169761000,395942000,3176746000,103981000,346662000,342191000,0,220754000,-93095000,627149000,811920000,129852000,499336000,188506000,53509000,418346000,134907000,90149000,0,0,0,0,0,0,0,4737860000,0,4737860000,0,418346000,0,814288000,0,0,0,0,0,535168000,0,84000000
2018-12-31,USD,3575219240.36,517757002.49,None,30377621.35,422226866.11,3147375714.91,0,8945593.20,3291363103.09,-89709634.84,86446693.06,2241088869.34,52012025.22,34295351.22,87212201.20,0,6275846.90,-54277753.34,379007185.80,288582636.75,96771520.75,388529843.09,911423.96,43798944.13,248567971.84,70291098.40,71000879.89,0,0,0,0,0,0,0,0,0,0,0,248567971.84,0,0,0,0,0,0,0,120841032.41,0,81000000
2018-09-30,USD,4955361000,628717000,None,1240000,552444000,4399519000,0,14452000,4202610000,112328000,163602000,2880642000,138978000,147797000,98938000,0,138000,84581000,438984000,647384000,220656000,890160000,5338307557697.70,43015000,289168000,85353000,81918000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72000000
2018-06-30,USD,1910716000,259726000,None,5412000,347585000,1558569000,0,25258000,1466433000,87749000,71660000,729050000,124942000,89193000,75165000,0,2249000,4387000,242858000,219698000,334442000,569793000,59188000,15096000,200514000,43215000,44328000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39000000
2018-03-31,USD,1671400000,61808000,None,55690000,284627000,1376069000,None,24681000,1416124000,-35921000,21868000,883071000,5955000,231023000,56146000,2361000,2361000,-4134000,189389000,394622000,136555000,431190000,57409000,16494000,206387000,32362000,28141000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,40000000
2017-12-31,USD,583813471.50,99976086.09,None,1058589.08,140939019.53,437459545.64,0,108731765.64,424609804.70,817058.59,1416500.60,52505380.63,122845755.28,279666002.39,126350737.35,252690.31,252690.31,26172977.28,93464328.42,367503387.80,19252291.75,336785173.38,61624551.61,8270227.18,194499.80,16884017.54,17560781.19,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,34000000
2017-09-30,USD,278066991.77,62611719.56,None,1392597.33,82275161.88,195791829.88,0,9174194.58,184212966.66,3757294.75,3082580.54,38093372.77,66522503.80,102258373.97,18836038.05,53493484.69,53493484.69,31263890,57066911.82,154477576.15,0,132711647.61,27787992.65,8860020.79,53436725.56,14178591.41,9605084.34,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31000000
2017-06-30,USD,248884689.55,55678364.83,None,1190898.57,80020053.99,168864635.56,0,11293482.45,170803702.28,0,8119552.64,31700732.74,64442730.43,123251831.85,18097956.04,0,0,0,35112225.22,0,0,0,11450057.85,0,49223293.48,9094485.15,6751253.37,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,279000000
2017-03-31,USD,148024487.34,16549988.73,None,5873206.64,26622098.70,121402388.64,0,434162.10,129471944.72,0,9119657.48,16549988.73,30202058.14,83464283.03,3335086.01,0,0,0,19444152.33,0,0,0,1376849.70,0,14062945.99,6530458.95,2850597.16,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,313000000
2016-12-31,USD,73090489.66,11984670.34,None,951034.38,17408840.60,55681649.05,0,540258.97,66470456.91,0,0,11984670.34,13397827.06,41558267.60,3312993,0,0,0,11684774.52,0,0,0,0,0,14095847.60,4255097.48,1526268.79,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,264000000
2016-09-30,USD,43239393.71,12266737.76,None,185086.45,11937695.18,31301698.53,0,386929.70,42706222.87,0,0,12266737.76,13672785.44,17666235.05,2906542.77,0,0,0,8979358.67,0,0,0,0,0,9031152.41,2363470.18,1248381.45,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,184000000
2016-06-30,USD,14233655.71,0,None,569439.07,9620116.05,4613539.65,0,201934.24,13267311.41,0,0,0,1378723.40,131528.05,6185686.65,0,0,0,8797678.92,0,0,0,69632.50,0,3434429.40,3220116.05,1305222.44,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,149000000
