fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-03-31,CAD,-85539000,17880000,-85539000,-1215000,-38039000,212575000,44152000,4314000,-137395000,73874000,-58687000,None,27555000,None,527241000,-35323000,3565000,54470000,83938000,None,None,None
2020-01-31,USD,None,17880000,-85539000,-1215000,-38039000,None,44152000,4314000,None,None,-58687000,None,None,None,None,None,None,54470000,0,None,None,None
2019-12-31,CAD,-131608000,-25539000,-131608000,9000,8995000,271217000,-180000,2327000,-1286129000,3808000,-134707000,None,31594000,None,320779000,-41562000,12713000,1168378000,128405000,None,None,None
2019-10-31,USD,None,-25539000,-131608000,9000,8995000,None,-180000,2327000,None,None,-134707000,None,None,None,None,None,None,1168378000,0,None,None,None
2019-09-30,CAD,-29463000,-7355000,-29463000,-3911000,45158000,103838000,303000,-18389000,12756000,-20201000,-94908000,None,29724000,None,58377000,-25817000,8821000,-94569000,108715000,None,None,None
2019-07-31,USD,None,-7355000,-29463000,-3911000,45158000,None,303000,-18389000,None,None,-94908000,None,None,None,None,None,None,-94569000,0,None,None,None
2019-06-30,CAD,-176236000,80716000,-176236000,-1834000,-8513000,-30116000,-30151000,-8734000,-193000,-205084000,-4605000,0,16895000,0,59331000,-44316000,-31023000,-43934000,167448000,0,0,0
2019-04-30,USD,None,80716000,-176236000,-1834000,-8513000,None,-30151000,-8734000,None,None,-4605000,None,None,None,None,None,None,-43934000,0,None,None,None
2019-03-31,CAD,-91028000,-5113000,-136061000,110789000,452626000,627664000,-15372000,25568000,-295656000,301026000,-187640000,0,35501000,0,50783000,2586000,-17827000,103377000,246850000,0,0,0
2018-12-31,USD,3873001.91,2765801.44,-50071124.80,-517671.21,45143716.09,54263821.67,996480.42,-5654788.09,-174330547,-43698489.51,-46843378.79,0,19032849.39,0,28190350.49,-4289485.26,-7691010.41,128717553.89,57206335.24,0,0,0
2018-09-30,USD,-18269000,22183000,23254000,-791000,78060000,105427000,1359000,-20671000,105462000,58604000,-69067000,0,16024000,0,0,-12179000,2178000,-182280000,72089000,0,0,0
2018-06-30,USD,-66329000,12330000,-105548000,-198000,-89000,8418000,1584000,-11711000,79869000,-141749000,-45121000,0,9598000,0,0,-5213000,-3840000,-127064000,177618000,0,0,0
2018-03-31,USD,-175543000,-13294000,-323821000,5606000,344939000,230873000,-125328000,-872000,-19215000,-119818000,-26915000,None,1207000,None,None,-1124000,-2093000,7727000,43736000,None,None,None
2017-12-31,USD,-31684336.39,2742128.34,-63736946.99,-392985.25,-13551.22,246518931.85,89175767.24,-581905.14,6155440.41,177701076.13,-3712235.95,None,541251.49,0,0,-1179752.89,-141889.20,-11937823.83,42994021.52,None,None,None
2017-09-30,USD,-31775521.62,-647533.78,-22729234.95,-3786074.03,-13590.22,1022463.83,89432408.67,-1113598.21,2845950.92,-25486449.76,-3976337.04,None,620353.35,0,0,-937724.84,179071.07,-4922855.54,16836677.59,None,None,None
2017-06-30,USD,0,2013112.23,0,0,0,169940609.33,0,0,0,0,0,None,0,0,0,0,0,0,19836482.84,None,None,None
2017-03-31,USD,0,686546.98,0,0,0,110491249.15,0,0,104409.22,0,0,None,0,0,0,0,0,0,9739352.51,None,None,None
2016-12-31,USD,0,129483.55,0,0,0,51983926.18,0,0,0,0,0,None,0,0,0,0,0,0,3603214.76,None,None,None
2016-09-30,USD,0,560591.06,0,0,0,21980348.85,0,0,0,0,0,None,0,0,0,0,0,0,479853.76,None,None,None
2016-06-30,USD,0,714119.92,0,0,0,6652998.07,0,0,0,0,0,None,0,0,0,0,419342.36,0,1458413.93,None,None,None
