fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,49737000,41456000,None,None,None,6532000,None,None,8281000,None,None,None,None,9178000,414000,1749000,None,-414000,None,None,None,1749000,33000,None,6532000,6432000,None
2020-03-31,USD,39410000,49637000,None,39410000,-10227000,-8087000,None,None,-10227000,None,12626000,None,-10227000,49637000,476000,-2140000,-476000,-476000,None,None,None,-2140000,27000,None,-8087000,-8186000,99000
2019-12-31,USD,52289000,50648000,67139000,52289000,1641000,1270000,None,None,1641000,None,11482000,None,1641000,50648000,506000,371000,-506000,-506000,None,None,None,371000,51000,None,1270000,1170000,100000
2019-09-30,USD,47745000,49489000,39415000,47745000,-1744000,-1392000,None,None,-1744000,None,11471000,None,-1744000,9541000,533000,-352000,-533000,-533000,None,None,None,-352000,39000,None,-1392000,-1492000,100000
2019-06-30,USD,43127000,48716000,38631000,43127000,-5589000,-4426000,None,None,-5589000,None,11509000,None,-5589000,48716000,545000,-1163000,-545000,-545000,None,None,None,-1163000,72000,None,-4426000,-4526000,100000
2019-03-31,USD,55018000,49733000,39517000,55018000,5285000,4162000,None,None,5285000,None,11015000,None,5285000,49733000,546000,1123000,-546000,-546000,None,None,None,1123000,28000,None,4162000,4063000,99000
2018-12-31,USD,49200000,48385000,39199000,49200000,275000,201000,0,0,275000,0,10586000,None,275000,48925000,-540000,74000,None,None,0,0,0,74000,-540000,0,201000,101000,100000
2018-09-30,USD,46370000,45298000,35418000,46370000,1072000,934000,0,0,1072000,0,0,None,1072000,45298000,-529000,None,None,None,0,0,0,138000,-529000,0,934000,834000,100000
2018-06-30,USD,49443000,45410000,36238000,49443000,4033000,3185000,0,0,4033000,0,0,None,4033000,45410000,-506000,None,None,None,0,0,0,848000,-506000,0,3185000,3085000,100000
2018-03-31,USD,40540000,46891000,36559000,40540000,-6351000,-5024000,0,0,-6351000,0,0,None,-6351000,46891000,-462000,None,None,None,0,0,0,-1327000,-462000,0,-5024000,-5123000,99000
2017-12-31,USD,48825000,45938000,45199000,48825000,2887000,2542000,0,0,2887000,0,0,None,2887000,45938000,450000,None,None,None,0,0,0,345000,-1723000,0,2542000,2442000,100000
2017-09-30,USD,44798000,44167000,43371000,44798000,631000,747000,0,0,631000,0,0,None,631000,44167000,440000,None,None,None,0,0,0,-116000,0,0,747000,647000,100000
2017-06-30,USD,43632000,41447000,40617000,43632000,2185000,1460000,0,0,2185000,0,0,None,2185000,41447000,424000,None,None,None,0,0,0,725000,0,0,1460000,1360000,100000
2017-03-31,USD,43859000,44206000,43410000,43859000,-347000,-221000,0,0,-347000,0,0,None,-347000,44206000,409000,None,None,None,0,0,0,-126000,0,0,-221000,-320000,99000
2016-12-31,USD,40029000,38555000,37802000,40029000,1474000,1348000,0,0,1474000,0,0,None,1474000,38555000,408000,None,None,None,0,0,0,126000,-1562000,0,1348000,1248000,100000
2016-09-30,USD,42447000,42130000,41451000,42447000,317000,149000,0,0,317000,0,0,None,317000,42130000,396000,None,None,None,0,0,0,168000,0,0,149000,49000,100000
2016-06-30,USD,41854000,41497000,40826000,41854000,357000,241000,0,0,357000,0,0,None,357000,41497000,385000,None,None,None,0,0,0,116000,0,0,241000,141000,100000
2016-03-31,USD,41747000,40371000,39707000,41747000,1376000,898000,0,0,1376000,0,0,None,1376000,40371000,373000,None,None,None,0,0,0,478000,0,0,898000,799000,99000
2015-12-31,USD,39857000,39713000,39065000,39857000,144000,114000,0,0,144000,0,0,None,144000,39713000,365000,None,None,None,0,0,0,30000,-1429000,0,114000,14000,100000
2015-09-30,USD,40359000,39994000,39366000,40359000,365000,238000,0,0,365000,0,0,None,365000,39994000,361000,None,None,None,0,0,0,127000,0,0,238000,138000,100000
