0,1,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,31.27B,44.54
1,2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,2.53B,-
2,3,AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,China,34.24M,-
3,4,AACQU,Artius Acquisition Inc.,Financial,Shell Companies,USA,-,-
4,5,AAL,American Airlines Group Inc.,Industrials,Airlines,USA,6.49B,-
5,6,AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,36.90M,-
6,7,AAME,Atlantic American Corporation,Financial,Insurance - Life,USA,39.69M,-
7,8,AAN,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA,4.04B,-
8,9,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,233.78M,-
9,10,AAON,"AAON, Inc.",Industrials,Building Products & Equipment,USA,2.96B,42.49
10,11,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,10.72B,23.64
11,12,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,1939.68B,34.51
12,13,AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.50B,32.99
13,14,AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,77.59M,-
14,15,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,1.48B,-
15,16,AAXN,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,USA,5.47B,-
16,17,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2.61B,10.03
17,18,ABB,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,55.10B,39.02
18,19,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,158.22B,19.72
19,20,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,19.44B,12.45
0,21,ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,1.59B,12.14
1,22,ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,179.07M,-
2,23,ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,36.66B,13.24
3,24,ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,2.08B,13.19
4,25,ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,29.05M,-
5,26,ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,USA,2.48B,-
6,27,ABMD,"Abiomed, Inc.",Healthcare,Medical Devices,USA,13.06B,78.19
7,28,ABR,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,USA,1.29B,24.44
8,29,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,186.56B,60.15
9,30,ABTX,"Allegiance Bancshares, Inc.",Financial,Banks - Regional,USA,490.00M,13.11
10,31,ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA,202.97M,-
11,32,AC,"Associated Capital Group, Inc.",Financial,Capital Markets,USA,825.82M,-
12,33,ACA,"Arcosa, Inc.",Industrials,Infrastructure Operations,USA,2.12B,18.34
