,0,1,2,3,4,5,6,7
0,AAP,10.829B,2.70,2.74,—,—,2.478B,2.501B
1,ACY,3.107M,0.36,-8.74,-9.01,-3338.63,7.465M,4.378M
2,ADDDF,68.349B,3.17,-1.79,-0.24,-15.65,6.998B,4.020B
3,ADDYY,64.244B,1.58,-0.83,-0.08,-11.05,6.976B,3.941B
4,ADOM,16.559M,-0.02,-0.02,-0.01,-51.00,230.000K,130.000K
5,ADPT,6.529B,-0.28,-0.26,0.02,6.52,23.592M,20.988M
6,ADX,1.832B,—,-0.37,—,—,—,—
7,AER,4.606B,1.17,1.92,0.55,40.15,1.092B,1.182B
8,AERG,72.129M,—,-0.01,—,—,—,0
9,AFMD,284.412M,-0.10,-0.17,-0.01,-9.20,8.865M,3.231M
10,AGTC,139.891M,-0.53,-0.56,-0.09,-18.48,83.333K,0
11,ALC,32.270B,0.22,-0.92,-0.82,-833.44,1.686B,1.234B
12,ALRN,42.666M,-0.14,-0.14,0.05,25.01,0,0
13,AMK,1.813B,0.24,-0.14,-0.36,-162.59,71.944M,99.131M
14,AMRK,188.681M,1.09,2.49,1.67,201.82,1.373B,1.666B
15,AMS,10.756M,—,-0.08,—,—,—,3.991M
16,APTO,394.551M,-0.18,-0.21,-0.06,-41.32,0,0
17,APVO,105.842M,-2.05,-2.10,0.01,0.58,563.667K,473.000K
18,ARMP,65.901M,-0.20,-0.26,0.06,19.78,875.000K,31.000K
19,ARPO,58.054M,-0.14,0.23,-0.04,-16.00,—,15.000M
20,ASH,4.748B,0.72,0.61,-0.20,-24.34,594.033M,574.000M
21,ATHM,12.293B,0.96,0.97,-0.03,-2.67,344.694M,326.347M
22,ATLC,231.479M,—,0.94,—,—,—,135.667M
23,ATRI,1.118B,—,4.68,—,—,—,37.968M
24,AVGR,21.961M,-0.07,-0.18,0.02,11.27,1.800M,1.466M
25,AXAS,15.294M,-0.03,-9.96,-10.01,-20012.40,15.150M,1.993M
26,AXGT,80.269M,-0.29,-0.20,0.29,59.63,0,0
27,BANX,127.339M,0.43,-0.80,—,—,4.349M,—
28,BDCO,3.300M,—,-0.34,—,—,—,18.469M
29,BEBE,39.445M,—,0.20,—,—,—,0
30,BMA,881.334M,1.36,1.48,-0.32,-17.67,384.288M,401.383M
31,BNTX,21.912B,-0.43,-0.42,-0.36,-563.06,59.650M,45.991M
32,BPT,27.392M,—,0.00,—,—,—,-63.000K
33,BRKS,4.478B,0.36,0.19,-0.03,-15.09,234.067M,220.350M
34,BSY,—,0.13,0.16,—,—,197.325M,—
35,BYFC,49.630M,—,0.01,—,—,—,4.810M
36,BYSI,475.863M,-0.54,-0.46,0.11,19.88,0,0
37,CAAS,94.142M,0.01,-0.13,-0.09,-228.75,109.775M,83.184M
38,CAE,5.690B,-0.01,-0.31,-0.25,-380.12,489.295M,404.185M
39,CATB,25.950M,-0.51,-0.53,-0.07,-16.31,0,0
40,CBIIF,38.267M,-0.01,-0.01,—,—,2.365M,2.717M
41,CBL,17.560M,-0.23,-0.42,-0.15,-54.38,114.752M,125.993M
42,CBPO,4.479B,1.28,0.92,-0.36,-28.45,—,111.112M
43,CCF,1.001B,—,1.04,—,—,—,64.871M
44,CFRX,147.667M,-0.35,-0.88,-0.55,-165.02,0,0
45,CGIX,9.170M,—,-0.79,—,—,—,1.446M
46,CHEK,12.589M,-0.08,-0.12,0.01,8.59,0,0
47,CHFS,9.817M,-1.83,-3.10,2.45,44.10,2.135M,1.863M
48,CLPT,110.120M,-0.14,-0.11,0.05,33.06,2.465M,2.478M
49,CLRO,32.756M,—,-0.12,—,—,—,6.357M
50,CLSD,63.025M,-0.12,-0.13,-0.02,-14.00,1.821M,354.000K
51,CMGGF,5.785B,0.15,0.11,-0.00,-3.76,427.930M,722.257M
52,COHR,3.407B,0.80,-0.36,-0.57,-270.81,310.045M,298.330M
53,CPIX,45.264M,-0.18,-0.06,-0.00,-0.33,8.614M,9.598M
54,CPST,54.924M,-0.22,-0.17,0.04,19.06,15.160M,14.193M
55,CRBP,99.689M,-0.42,-0.52,-0.14,-37.52,2.698M,286.346K
56,CRIS,58.177M,-0.13,-0.17,0.02,9.04,2.568M,2.360M
57,CRSR,2.417B,0.26,0.25,—,—,400.252M,380.407M
58,CRWS,61.121M,0.17,0.12,0.04,49.38,18.700M,16.205M
59,CTIB,8.249M,—,-0.42,—,—,—,5.745M
60,CTIC,229.259M,-0.15,-0.19,-0.07,-54.05,0,0
61,CWCO,156.361M,0.15,-0.07,-0.19,-165.13,19.150M,19.087M
62,CXDC,83.960M,—,0.26,—,—,—,283.224M
63,CXDO,116.094M,0.02,0.03,0.01,52.50,4.101M,4.054M
64,CYBR,4.088B,0.29,-0.11,-0.38,-141.25,112.013M,106.497M
65,DDOG,28.783B,0.01,0.00,-0.01,-88.07,144.330M,140.012M
66,DDS,1.164B,-0.86,-0.37,4.45,92.33,1.169B,945.183M
67,DHI,23.623B,1.78,1.72,0.41,31.48,5.878B,5.390B
68,DIT,37.268M,—,2.77,—,—,—,396.854M
69,DMS,472.185M,0.10,-0.02,-0.06,-135.53,88.087M,0
70,DMTK,273.990M,-0.55,-0.58,-0.21,-57.59,1.142M,844.000K
71,DOX,8.082B,1.19,0.90,-0.15,-14.06,1.034B,1.026B
72,DTIL,380.547M,-0.66,-0.63,-0.04,-6.52,4.345M,1.078M
73,EGAN,510.866M,0.06,0.07,0.01,23.89,18.996M,19.030M
74,ELMD,76.121M,-0.05,0.15,0.30,197.27,7.007M,6.877M
75,EML,140.907M,—,-0.30,—,—,—,48.833M
76,ENZN,6.417M,—,-0.01,—,—,—,8.000K
77,EYEN,82.351M,-0.18,-0.25,-0.01,-3.97,2.000M,0
78,EYES,18.929M,-0.41,-0.15,0.26,62.83,241.000K,0
79,FALC,22.495M,—,-0.00,—,—,—,3.500M
80,FAT,66.611M,-0.13,-0.36,-0.19,-110.41,3.550M,3.107M
81,FGBI,168.032M,0.40,0.53,0.23,77.40,22.100M,28.725M
82,FICO,12.484B,2.32,2.15,-0.00,-0.20,316.436M,313.731M
83,FLR,1.898B,0.28,0.20,-0.02,-8.26,3.939B,4.119B
84,FONR,122.358M,—,0.08,—,—,—,20.806M
