,0,1,2,3,4,5,6,7
0,ADI,43.492B,1.30,0.72,-0.31,-30.00,1.435B,1.317B
1,ADVZF,87.326M,-0.01,-0.01,0.00,13.00,—,0
2,AEO,1.875B,-0.19,-1.54,-1.24,-418.56,804.749M,551.692M
3,AMBO,57.917M,—,0.04,—,—,—,12.936M
4,ATRX,815.213K,—,-0.20,—,—,—,0
5,AWSM,12.375M,—,0.16,—,—,—,13.943M
6,AYRSF,319.679M,-0.11,0.05,0.21,131.39,28.558M,31.707M
7,BANX,126.092M,0.37,0.79,—,—,4.012M,—
8,BCEKF,291.038M,-0.02,-0.03,-0.01,-59.37,—,0
9,BGI,14.192M,—,-0.34,—,—,—,—
10,BIMI,20.976M,—,-0.24,—,—,—,426.898K
11,BNOEF,55.101M,-0.01,-0.01,—,—,—,—
12,CBWTF,104.438M,—,-0.01,—,—,0,6.959M
13,CFNB,157.551M,—,-2.68,—,—,—,-28.967M
14,CO,432.722M,—,0.11,—,—,—,42.971M
15,COMS,475.745M,—,-0.05,—,—,—,2.485M
16,CPMMF,7.365M,—,-0.00,—,—,—,0
17,CTIB,8.809M,—,-0.72,—,—,—,7.068M
18,CZR,29.078B,-1.07,-0.36,-0.13,-58.38,225.014M,1.828B
19,DLNG,108.954M,0.14,0.20,0.10,107.61,32.774M,34.471M
20,DXR,62.608M,0.05,-0.25,-0.21,-521.50,830.200K,—
21,EARS,5.485M,-1.34,-0.84,0.74,46.86,—,—
22,ECF,161.893M,—,-0.95,—,—,—,—
23,EXDI,3.952M,—,-0.06,—,—,—,836.000K
24,FINV,452.850M,0.19,0.20,0.14,235.57,313.697M,301.811M
25,FLOOF,80.843M,-0.04,-0.03,-0.00,-11.91,3.654M,8.330M
26,FLR,1.494B,0.21,0.28,0.03,10.58,4.250B,—
27,FORTY,1.499B,—,0.71,—,—,—,467.072M
28,FRSX,61.527M,-0.11,-0.13,0.01,6.43,0,0
29,FUV,248.611M,-0.11,-0.15,0.02,12.36,280.750K,616.795K
30,GEC,69.470M,—,-0.46,—,—,—,16.236M
31,GGAL,1.236B,0.76,0.84,-0.28,-24.63,485.544M,967.256M
32,GLXZ,23.583M,—,0.01,—,—,—,4.494M
33,GOCO,5.967B,-0.04,-0.00,—,—,124.304M,141.010M
34,GRSLF,74.243M,-0.01,-0.01,—,—,—,0
35,GTHP,5.151M,—,0.04,—,—,—,0
36,GVA,877.329M,0.39,0.20,-0.14,-41.18,833.000M,—
37,GVP,19.028M,-0.03,-0.31,-0.29,-1438.00,18.400M,17.705M
38,HGSH,45.951M,—,-0.01,—,—,—,1.863M
39,HNCKF,14.406M,—,-0.01,—,—,—,0
40,HTHT,11.683B,-0.24,-1.07,-0.75,-236.29,277.483M,288.440M
41,IAC,—,0.28,-2.49,-3.13,-489.74,1.207B,1.229B
42,IDXG,13.644M,-1.49,-2.32,-1.11,-92.19,5.867M,9.200M
43,IGC,74.959M,—,-0.08,—,—,—,29.000K
44,IMMP,64.855M,-0.16,-0.11,0.19,63.52,—,—
45,IWSY,14.826M,—,-0.04,—,—,—,796.000K
46,JBSS,1.042B,0.91,1.17,0.51,76.80,220.700M,211.624M
47,JRJC,21.440M,—,-0.82,—,—,—,9.800M
48,KLXE,75.779M,-1.65,-52.62,-46.27,-728.65,78.900M,83.000M
49,LB,7.829B,-0.38,-1.07,-0.40,-60.45,2.191B,1.654B
50,LITB,309.618M,—,0.01,—,—,—,51.335M
51,LOW,119.223B,2.92,1.76,0.44,33.46,24.321B,19.675B
52,MARA,109.608M,—,-0.12,—,—,—,592.487K
53,MBT,8.430B,0.17,0.30,0.11,59.61,1.571B,1.785B
54,MCF,254.281M,-0.18,-0.80,-0.70,-701.40,11.700M,34.573M
55,MMYT,1.518B,-0.50,-3.20,-2.90,-952.54,10.548M,104.946M
56,MREO,126.174M,-0.50,-1.21,-0.01,-0.45,—,—
57,MTCH,—,0.43,0.55,0.17,44.89,539.725M,544.642M
58,MTL,370.481M,—,-2.20,—,—,—,1.020B
59,MTL/P,424.605M,—,-0.55,—,—,—,1.020B
