,0,1,2,3,4,5,6,7
0,A,30.109B,0.66,0.32,-0.28,-46.55,1.212B,1.238B
1,AAP,11.125B,1.98,0.63,—,—,2.375B,2.698B
2,ADCT,2.732B,-0.65,-1.00,—,—,599.000K,—
3,ADMP,69.486M,-0.07,-0.15,-0.10,-172.65,5.333M,4.663M
4,AGEEF,39.122M,-0.02,-0.03,-0.01,-58.17,8.504M,4.204M
5,ALC,30.313B,-0.12,-0.12,-0.46,-133.66,1.246B,1.842B
6,AMCR,17.807B,0.19,0.11,-0.04,-27.62,3.353B,3.141B
7,ATGE,1.837B,0.64,2.83,2.16,323.81,258.517M,271.487M
8,ATHM,10.417B,1.00,0.70,-0.02,-3.23,329.012M,221.615M
9,ATRX,1.065M,—,-0.20,—,—,—,0
10,AWSM,11.109M,—,0.16,—,—,—,13.943M
11,AYRSF,324.333M,-0.11,0.05,0.21,131.39,28.501M,31.707M
12,BANX,130.621M,0.37,0.79,—,—,4.012M,—
13,BBL,50.203B,1.58,1.92,-0.09,-4.40,—,—
14,BCV,140.518M,—,-0.52,—,—,—,—
15,BGI,14.035M,—,-0.34,—,—,—,—
16,BIMI,21.811M,—,-0.24,—,—,—,426.898K
17,BNOEF,52.596M,-0.01,-0.01,—,—,—,—
18,CBWTF,107.951M,—,-0.01,—,—,0,6.959M
19,CFNB,157.551M,—,-2.68,—,—,—,-28.967M
20,CGOL,11.134M,-0.02,-0.02,-0.00,-6.67,—,0
21,CHA,4.849B,1.43,2.45,0.59,31.48,—,—
22,CMCM,97.024M,0.09,-0.11,-0.19,-241.55,198.031M,75.669M
23,COMS,418.431M,—,-0.05,—,—,—,2.485M
24,CPMMF,8.543M,—,-0.00,—,—,—,0
25,CREE,7.829B,-0.19,-0.57,-0.42,-278.45,198.567M,215.500M
26,CTIB,8.854M,—,-0.72,—,—,—,7.068M
27,CTK,384.596M,0.17,0.00,-0.01,-90.00,138.600M,106.633M
28,CZR,28.288B,-1.07,-0.36,-0.13,-58.38,225.014M,1.828B
29,DLNG,110.019M,0.14,0.20,0.10,107.61,32.774M,34.471M
30,DQ,1.489B,0.18,2.26,0.49,27.89,111.467M,168.231M
31,DXR,62.219M,0.05,-0.25,-0.21,-521.50,830.200K,—
32,EARS,5.023M,-1.33,-0.84,0.74,46.86,—,—
33,ECF,162.950M,—,-0.95,—,—,—,—
34,EXDI,3.494M,—,-0.06,—,—,—,836.000K
35,FBAK,680.600M,—,4.26,—,—,—,5.757M
36,FLOOF,83.785M,-0.04,-0.03,-0.00,-11.91,3.647M,8.316M
37,FLR,1.541B,0.21,0.28,0.03,10.58,4.250B,—
38,FORTY,1.481B,—,0.71,—,—,—,467.072M
39,FRSX,62.044M,-0.11,-0.13,0.01,6.43,0,0
40,FTSSF,41.833M,—,-0.00,—,—,—,0
41,GDS,11.866B,-0.02,-0.10,-0.07,-244.41,192.557M,177.738M
42,GEC,65.653M,—,-0.46,—,—,—,16.236M
43,GGAL,1.302B,0.76,0.84,-0.28,-24.63,485.544M,967.256M
44,GMO,36.049M,—,-0.01,—,—,—,0
45,GOGL,608.932M,0.19,-0.29,-0.01,-4.76,121.866M,137.408M
46,GTHP,5.157M,—,0.04,—,—,—,0
47,GVA,896.492M,0.39,0.20,-0.14,-41.18,833.000M,—
48,HD,310.008B,3.68,2.08,-0.19,-8.34,34.525B,28.260B
49,HGSH,45.050M,—,-0.01,—,—,—,1.863M
50,HMI,333.828M,0.03,0.04,-0.12,-75.62,185.058M,155.964M
51,HNCKF,14.095M,—,-0.01,—,—,—,0
52,HNP,1.969B,0.85,0.75,-0.36,-32.22,—,5.719B
53,IAC,—,0.28,-2.49,-3.13,-489.74,1.205B,1.229B
54,IDXG,15.662M,-1.49,-2.32,-1.11,-92.19,5.867M,9.200M
55,IGC,84.843M,—,-0.08,—,—,—,29.000K
56,IMBI,50.517M,-0.70,-0.82,0.51,38.08,111.975M,95.834M
57,JKHY,15.256B,0.78,0.96,0.16,20.07,412.620M,429.406M
58,JRJC,20.854M,—,-0.82,—,—,—,9.800M
59,KC,6.746B,-0.21,-0.24,-0.20,-565.27,221.405M,199.310M
60,KE,351.321M,0.20,0.25,0.07,37.33,275.200M,293.925M
61,KSS,3.699B,-0.88,-3.51,-1.84,-110.38,3.087B,2.428B
62,LFVN,189.221M,0.19,0.11,-0.05,-29.31,57.843M,56.077M
63,LZB,1.516B,-0.13,0.05,-0.15,-75.41,289.736M,367.281M
64,MCF,268.774M,-0.18,-0.80,-0.70,-701.40,11.700M,34.573M
65,MGTI,9.450M,-0.01,-0.00,0.01,69.00,500.000K,677.000K
66,MMYT,1.537B,-0.50,-3.20,-2.90,-952.54,10.548M,104.946M
67,MREO,120.227M,-0.50,-1.21,-0.01,-0.45,—,—
68,MTCH,—,0.43,0.55,0.17,44.89,539.725M,544.642M
69,NGPHF,15.367M,—,-0.00,—,—,—,0
70,NGS,91.270M,-0.13,0.30,0.39,438.11,14.350M,17.890M
71,NORZF,29.527M,-0.00,-0.01,-0.00,-160.61,—,0
72,OEG,18.553M,-0.23,-0.26,-0.15,-136.09,11.400M,5.688M
73,ONE,410.118M,-0.03,-0.01,-0.07,-127.25,101.281M,126.953M
74,ONVC,25.508M,—,-0.02,—,—,—,4.498M
75,PAVM,105.234M,-0.65,-0.13,-0.02,-14.73,750.000K,0
76,PNRG,149.763M,—,-0.09,—,—,—,18.355M
77,PSV,15.568M,-0.17,-0.25,-0.15,-150.00,11.200M,10.873M
78,PTNR,782.663M,—,0.01,—,—,—,230.695M
79,PTQQF,97.874M,-0.00,0.01,0.01,—,19.286M,16.933M
80,PXFG,959.279K,—,-0.06,—,—,—,3.736M
81,RIOFF,134.260M,—,-0.01,—,—,—,0
82,ROYL,7.948M,—,0.00,—,—,—,383.814K
83,SE,40.581B,-0.44,-0.61,-0.25,-70.91,1.038B,710.666M
84,SEED,52.423M,—,-0.02,—,—,—,—
85,SFL,1.137B,0.21,-0.81,-1.06,-423.08,118.577M,121.896M
86,SIM,1.075B,0.07,0.62,0.37,148.59,305.585M,325.845M
87,SINA,2.598B,0.49,1.21,1.14,1636.16,495.343M,435.051M
88,SMIT,16.564M,—,-0.06,—,—,—,1.095M
89,SONN,25.028M,-5.72,-4.26,2.76,39.36,12.750M,5.681M
90,SUPN,1.308B,0.44,0.40,0.13,48.74,98.769M,94.976M
91,SYNL,61.413M,—,-0.13,—,—,—,74.697M
92,TAOIF,7.611M,—,0.03,—,—,—,31.173K
93,TIGR,774.280M,—,0.02,—,—,0,23.105M
94,TLGT,12.389M,-1.70,-4.98,-3.18,-176.71,9.982M,7.447M
95,TLTFF,28.047M,0.00,-0.01,0.00,20.00,0,78.367K
96,TOFB,8.297M,—,0.01,—,—,—,3.226M
97,TRIB,46.750M,0.00,0.01,-0.02,-67.67,13.000M,21.170M
98,TSRI,8.633M,—,-0.48,—,—,—,14.145M
99,UAMY,34.690M,—,-0.00,—,—,—,1.743M
100,UI,11.670B,1.40,1.60,0.23,16.83,306.310M,337.417M
101,VEDL,6.050B,—,-1.87,-2.15,-764.34,0,2.726B
102,VKIN,20.941M,-0.03,0.15,0.18,613.00,8.775M,11.788M
103,WB,4.075B,0.47,0.23,-0.08,-26.17,380.300M,322.241M
104,WBAI,153.083M,—,-0.12,—,—,—,439.037K
105,WF,5.537B,0.61,1.77,0.09,5.55,1.379B,12.026B
106,WMT,384.012B,1.25,1.40,0.28,25.10,135.565B,134.622B
107,WUBA,7.083B,0.55,1.55,1.73,957.49,565.747M,366.868M
108,XELB,17.417M,0.03,-0.04,0.01,14.60,8.700M,9.527M
109,XIN,113.833M,—,-0.73,—,—,—,125.322M
110,XNET,271.852M,—,-0.08,—,—,—,48.044M
111,XTLB,8.793M,—,0.01,—,—,—,0
